"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ACOMAYO (000)",7633,5977,1034,321,301
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",33,,1,5,27
"Profes., científicos e intelectuales (002)",382,117,109,116,40
"Técnicos de nivel medio y trab. asimilados (003)",87,51,4,8,24
"Jefes y empleados de oficina (004)",80,15,6,7,52
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",404,372,19,8,5
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3437,2961,470,6,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",181,145,21,8,7
"Obreros construc.,conf.,papel, fab., instr. (008)",316,171,58,71,16
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2395,1907,311,79,98
"Otra (010)",29,,,,29
"Ocupación no especificada (011)",289,238,35,13,3
"Hombres (012)",5093,3815,804,236,238
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",28,,1,3,24
"Profes., científicos e intelectuales (014)",223,61,76,67,19
"Técnicos de nivel medio y trab. asimilados (015)",50,31,4,3,12
"Jefes y empleados de oficina (016)",47,2,5,4,36
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",131,114,10,3,4
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2749,2336,409,4,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",155,122,19,8,6
"Obreros construc.,conf.,papel, fab., instr. (020)",306,165,57,68,16
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1268,908,205,66,89
"Otra (022)",29,,,,29
"Ocupación no especificada (023)",107,76,18,10,3
"Mujeres (024)",2540,2162,230,85,63
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",5,,,2,3
"Profes., científicos e intelectuales (026)",159,56,33,49,21
"Técnicos de nivel medio y trab. asimilados (027)",37,20,,5,12
"Jefes y empleados de oficina (028)",33,13,1,3,16
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",273,258,9,5,1
"Agricult.trabaj.calif.agrop.y pesqueros (030)",688,625,61,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",26,23,2,,1
"Obreros construc.,conf.,papel, fab., instr. (032)",10,6,1,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1127,999,106,13,9
