"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",21645,1180,2984,3207,2379,3177,2474,4338,1906
"Sabe leer y escribir (001)",14366,,1528,3108,2292,2792,1804,2324,518
"No sabe leer y escribir (002)",7279,1180,1456,99,87,385,670,2014,1388
"Hombres (004)",10624,598,1516,1640,1221,1571,1153,2099,826
"Sabe leer y escribir (005)",7912,,782,1590,1187,1468,999,1507,379
"No sabe leer y escribir (006)",2712,598,734,50,34,103,154,592,447
"Mujeres (008)",11021,582,1468,1567,1158,1606,1321,2239,1080
"Sabe leer y escribir (009)",6454,,746,1518,1105,1324,805,817,139
"No sabe leer y escribir (010)",4567,582,722,49,53,282,516,1422,941
,,,,,,,,,
"URBANA (012)",2731,110,315,349,274,396,415,636,236
"Sabe leer y escribir (013)",2308,,228,344,270,381,395,556,134
"No sabe leer y escribir (014)",423,110,87,5,4,15,20,80,102
"Hombres (016)",1373,55,171,169,137,197,204,338,102
"Sabe leer y escribir (017)",1218,,125,165,136,193,200,321,78
"No sabe leer y escribir (018)",155,55,46,4,1,4,4,17,24
"Mujeres (020)",1358,55,144,180,137,199,211,298,134
"Sabe leer y escribir (021)",1090,,103,179,134,188,195,235,56
"No sabe leer y escribir (022)",268,55,41,1,3,11,16,63,78
,,,,,,,,,
"RURAL (024)",18914,1070,2669,2858,2105,2781,2059,3702,1670
"Sabe leer y escribir (025)",12058,,1300,2764,2022,2411,1409,1768,384
"No sabe leer y escribir (026)",6856,1070,1369,94,83,370,650,1934,1286
"Hombres (028)",9251,543,1345,1471,1084,1374,949,1761,724
"Sabe leer y escribir (029)",6694,,657,1425,1051,1275,799,1186,301
"No sabe leer y escribir (030)",2557,543,688,46,33,99,150,575,423
"Mujeres (032)",9663,527,1324,1387,1021,1407,1110,1941,946
"Sabe leer y escribir (033)",5364,,643,1339,971,1136,610,582,83
"No sabe leer y escribir (034)",4299,527,681,48,50,271,500,1359,863
