"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CASTROVIRREYNA (000)",6492,369,3,2117,2520,279,569,129,506
"Agric., ganadería, caza y silvicultura (001)",3333,329,2,1644,1164,82,68,21,23
"Pesca (002)",5,,,,4,,1,,
"Explotación de minas y canteras (003)",856,6,1,150,486,48,49,22,94
"Industrias manufactureras (004)",147,3,,21,78,8,17,6,14
"Suministro de electricidad, gas y agua (005)",12,,,1,4,2,2,,3
"Construcción (006)",342,5,,81,182,14,30,15,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",363,15,,92,184,15,33,5,19
"Venta, mant.y rep. veh.autom.y motoc. (008)",38,2,,5,16,1,9,,5
"Comercio al por mayor (009)",13,,,2,9,1,,1,
"Comercio al por menor (010)",312,13,,85,159,13,24,4,14
"Hoteles y restaurantes (011)",127,1,,33,73,3,8,4,5
"Trans., almac. y comunicaciones (012)",132,,,7,82,12,16,5,10
"Intermediación financiera (013)",3,,,,,1,1,,1
"Activid.inmobil., empres. y de alquiler (014)",85,,,2,25,17,9,10,22
"Admin.pub. y defensa; p. segur.soc.afil (015)",326,3,,35,105,32,75,12,64
"Enseñanza (016)",492,,,,46,32,211,21,182
"Servicios sociales y de salud (017)",87,,,,6,4,34,4,39
"Otras activ. serv.comun.soc y personales (018)",19,,,5,4,,3,,7
"Hogares privados con servicio doméstico (019)",50,3,,13,30,2,1,,1
"Actividad economica no especificada (021)",113,4,,33,47,7,11,4,7
"Hombres (022)",4531,111,2,1371,1995,229,375,106,342
"Agric., ganadería, caza y silvicultura (023)",2201,92,1,1035,910,70,58,19,16
"Pesca (024)",4,,,,3,,1,,
"Explotación de minas y canteras (025)",839,6,1,149,484,48,47,19,85
"Industrias manufactureras (026)",132,3,,19,70,7,16,6,11
"Suministro de electricidad, gas y agua (027)",11,,,1,4,2,2,,2
"Construcción (028)",327,3,,72,178,14,30,15,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",169,4,,37,83,9,18,4,14
"Venta, mant.y rep. veh.autom.y motoc. (030)",38,2,,5,16,1,9,,5
"Comercio al por mayor (031)",7,,,,5,1,,1,
"Comercio al por menor (032)",124,2,,32,62,7,9,3,9
"Hoteles y restaurantes (033)",39,,,6,19,2,3,4,5
"Trans., almac. y comunicaciones (034)",128,,,7,79,12,16,4,10
"Intermediación financiera (035)",1,,,,,,1,,
"Activid.inmobil., empres. y de alquiler (036)",72,,,2,21,17,8,9,15
"Admin.pub. y defensa; p. segur.soc.afil (037)",240,1,,22,85,22,50,7,53
"Enseñanza (038)",244,,,,17,19,96,11,101
"Servicios sociales y de salud (039)",39,,,,3,3,20,4,9
"Otras activ. serv.comun.soc y personales (040)",11,,,2,3,,3,,3
"Hogares privados con servicio doméstico (041)",9,,,4,4,,,,1
"Actividad economica no especificada (043)",65,2,,15,32,4,6,4,2
"Mujeres (044)",1961,258,1,746,525,50,194,23,164
"Agric., ganadería, caza y silvicultura (045)",1132,237,1,609,254,12,10,2,7
"Pesca (046)",1,,,,1,,,,
