"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAMANGA (000)",71283,50321,7153,5863,7946
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",178,7,57,34,80
"Profes., científicos e intelectuales (002)",10569,2489,2116,2906,3058
"Técnicos de nivel medio y trab. asimilados (003)",3796,1835,558,512,891
"Jefes y empleados de oficina (004)",3039,609,391,536,1503
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",12522,11176,779,378,189
"Agricult.trabaj.calif.agrop.y pesqueros (006)",9176,8691,461,19,5
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",5701,4673,649,177,202
"Obreros construc.,conf.,papel, fab., instr. (008)",6887,5430,604,451,402
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",16572,13708,1330,714,820
"Otra (010)",708,,,,708
"Ocupación no especificada (011)",2135,1703,208,136,88
"Hombres (012)",43379,30331,4580,3476,4992
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",122,5,39,21,57
"Profes., científicos e intelectuales (014)",5501,1328,1054,1463,1656
"Técnicos de nivel medio y trab. asimilados (015)",2476,1252,392,335,497
"Jefes y empleados de oficina (016)",1549,273,166,266,844
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",4353,3595,361,255,142
"Agricult.trabaj.calif.agrop.y pesqueros (018)",7836,7428,393,12,3
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",4606,3754,526,131,195
"Obreros construc.,conf.,papel, fab., instr. (020)",6655,5261,583,422,389
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",8461,6547,928,490,496
"Otra (022)",648,,,,648
"Ocupación no especificada (023)",1172,888,138,81,65
"Mujeres (024)",27904,19990,2573,2387,2954
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",56,2,18,13,23
"Profes., científicos e intelectuales (026)",5068,1161,1062,1443,1402
"Técnicos de nivel medio y trab. asimilados (027)",1320,583,166,177,394
"Jefes y empleados de oficina (028)",1490,336,225,270,659
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",8169,7581,418,123,47
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1340,1263,68,7,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",1095,919,123,46,7
