"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CARABAYA (000)",2657,1040,1617
"Sin nivel (001)",114,16,98
"Educación inicial (002)",3,2,1
"Primaria (003)",1038,312,726
"Secundaria (004)",1329,636,693
"Superior no univ. incompleta (005)",53,25,28
"Superior no univ. completa (006)",55,23,32
"Superior univ. incompleta (007)",33,10,23
"Superior univ. completa (008)",32,16,16
"De 14 a 29 años (010)",1491,790,701
"Sin nivel (011)",15,7,8
"Educación inicial (012)",2,2,
"Primaria (013)",393,179,214
"Secundaria (014)",972,549,423
"Superior no univ. incompleta (015)",33,18,15
"Superior no univ. completa (016)",37,20,17
"Superior univ. incompleta (017)",23,5,18
"Superior univ. completa (018)",16,10,6
"De 30 a 44 años (020)",765,214,551
"Sin nivel (021)",24,6,18
"Educación inicial (022)",1,,1
"Primaria (023)",403,108,295
"Secundaria (024)",279,81,198
"Superior no univ. incompleta (025)",17,6,11
"Superior no univ. completa (026)",18,3,15
"Superior univ. incompleta (027)",9,4,5
"Superior univ. completa (028)",14,6,8
"De 45 a 64 años (030)",329,36,293
"Sin nivel (031)",47,3,44
"Primaria (033)",200,25,175
"Secundaria (034)",77,6,71
"Superior no univ. incompleta (035)",3,1,2
"Superior univ. incompleta (037)",1,1,
"Superior univ. completa (038)",1,,1
"De 65 y más años (040)",72,,72
"Sin nivel (041)",28,,28
"Primaria (043)",42,,42
"Secundaria (044)",1,,1
"Superior univ. completa (048)",1,,1
,,,
"AREA URBANA (050)",1479,534,945
"Sin nivel (051)",65,11,54
"Educación inicial (052)",3,2,1
"Primaria (053)",480,122,358
"Secundaria (054)",808,349,459
"Superior no univ. incompleta (055)",37,17,20
"Superior no univ. completa (056)",47,20,27
"Superior univ. incompleta (057)",20,6,14
"Superior univ. completa (058)",19,7,12
"De 14 a 29 años (060)",795,403,392
"Sin nivel (061)",10,4,6
"Educación inicial (062)",2,2,
"Primaria (063)",154,61,93
"Secundaria (064)",550,298,252
"Superior no univ. incompleta (065)",25,14,11
"Superior no univ. completa (066)",33,18,15
"Superior univ. incompleta (067)",12,1,11
"Superior univ. completa (068)",9,5,4
"De 30 a 44 años (070)",437,113,324
"Sin nivel (071)",14,5,9
"Educación inicial (072)",1,,1
"Primaria (073)",194,50,144
"Secundaria (074)",188,47,141
"Superior no univ. incompleta (075)",11,3,8
"Superior no univ. completa (076)",14,2,12
"Superior univ. incompleta (077)",7,4,3
"Superior univ. completa (078)",8,2,6
"De 45 a 64 años (080)",209,18,191
"Sin nivel (081)",26,2,24
"Primaria (083)",111,11,100
"Secundaria (084)",69,4,65
"Superior no univ. incompleta (085)",1,,1
"Superior univ. incompleta (087)",1,1,
"Superior univ. completa (088)",1,,1
"De 65 y más años (090)",38,,38
"Sin nivel (091)",15,,15
"Primaria (093)",21,,21
"Secundaria (094)",1,,1
"Superior univ. completa (098)",1,,1
,,,
"AREA RURAL (100)",1178,506,672
"Sin nivel (101)",49,5,44
"Primaria (103)",558,190,368
"Secundaria (104)",521,287,234
"Superior no univ. incompleta (105)",16,8,8
"Superior no univ. completa (106)",8,3,5
"Superior univ. incompleta (107)",13,4,9
"Superior univ. completa (108)",13,9,4
"De 14 a 29 años (110)",696,387,309
"Sin nivel (111)",5,3,2
"Primaria (113)",239,118,121
"Secundaria (114)",422,251,171
"Superior no univ. incompleta (115)",8,4,4
"Superior no univ. completa (116)",4,2,2
"Superior univ. incompleta (117)",11,4,7
"Superior univ. completa (118)",7,5,2
"De 30 a 44 años (120)",328,101,227
"Sin nivel (121)",10,1,9
"Primaria (123)",209,58,151
"Secundaria (124)",91,34,57
"Superior no univ. incompleta (125)",6,3,3
"Superior no univ. completa (126)",4,1,3
"Superior univ. incompleta (127)",2,,2
"Superior univ. completa (128)",6,4,2
"De 45 a 64 años (130)",120,18,102
"Sin nivel (131)",21,1,20
"Primaria (133)",89,14,75
"Secundaria (134)",8,2,6
"Superior no univ. incompleta (135)",2,1,1
"De 65 y más años (140)",34,,34
"Sin nivel (141)",13,,13
"Primaria (143)",21,,21
