"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia PICOTA (000)",37721,37001,512,208
"Hombres (001)",20001,19690,206,105
"Mujeres (002)",17720,17311,306,103
"Menores de 1 año (003)",788,639,107,42
"Hombres (004)",392,332,41,19
"Mujeres (005)",396,307,66,23
"De 1 a 5 años (006)",4603,4209,241,153
"Hombres (007)",2369,2168,123,78
"Mujeres (008)",2234,2041,118,75
"De 6 a 14 años (009)",7918,7897,18,3
"Hombres (010)",4105,4092,10,3
"Mujeres (011)",3813,3805,8,
"De 15 a 29 años (012)",9803,9789,11,3
"Hombres (013)",5044,5036,5,3
"Mujeres (014)",4759,4753,6,
"De 30 a 44 años (015)",7702,7690,11,1
"Hombres (016)",4222,4220,2,
"Mujeres (017)",3480,3470,9,1
"De 45 a 64 años (018)",5063,5033,29,1
"Hombres (019)",2944,2937,7,
"Mujeres (020)",2119,2096,22,1
"De 65 a más años (021)",1844,1744,95,5
"Hombres (022)",925,905,18,2
"Mujeres (023)",919,839,77,3
,,,,
"URBANA (024)",23482,23107,270,105
"Hombres (025)",12255,12099,102,54
"Mujeres (026)",11227,11008,168,51
"Menores de 1 año (027)",433,355,57,21
"Hombres (028)",216,182,23,11
"Mujeres (029)",217,173,34,10
"De 1 a 5 años (030)",2545,2347,115,83
"Hombres (031)",1316,1218,56,42
"Mujeres (032)",1229,1129,59,41
"De 6 a 14 años (033)",4733,4722,10,1
"Hombres (034)",2463,2456,6,1
"Mujeres (035)",2270,2266,4,
"De 15 a 29 años (036)",5957,5953,4,
"Hombres (037)",2934,2933,1,
"Mujeres (038)",3023,3020,3,
"De 30 a 44 años (039)",5142,5139,3,
"Hombres (040)",2742,2741,1,
"Mujeres (041)",2400,2398,2,
"De 45 a 64 años (042)",3393,3383,10,
"Hombres (043)",1962,1959,3,
"Mujeres (044)",1431,1424,7,
"De 65 a más años (045)",1279,1208,71,
"Hombres (046)",622,610,12,
"Mujeres (047)",657,598,59,
,,,,
"RURAL (048)",14239,13894,242,103
"Hombres (049)",7746,7591,104,51
"Mujeres (050)",6493,6303,138,52
"Menores de 1 año (051)",355,284,50,21
"Hombres (052)",176,150,18,8
"Mujeres (053)",179,134,32,13
"De 1 a 5 años (054)",2058,1862,126,70
"Hombres (055)",1053,950,67,36
"Mujeres (056)",1005,912,59,34
"De 6 a 14 años (057)",3185,3175,8,2
"Hombres (058)",1642,1636,4,2
"Mujeres (059)",1543,1539,4,
"De 15 a 29 años (060)",3846,3836,7,3
"Hombres (061)",2110,2103,4,3
"Mujeres (062)",1736,1733,3,
"De 30 a 44 años (063)",2560,2551,8,1
"Hombres (064)",1480,1479,1,
"Mujeres (065)",1080,1072,7,1
"De 45 a 64 años (066)",1670,1650,19,1
"Hombres (067)",982,978,4,
"Mujeres (068)",688,672,15,1
"De 65 a más años (069)",565,536,24,5
"Hombres (070)",303,295,6,2
"Mujeres (071)",262,241,18,3
