"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ABANCAY (000)",31552,21015,4072,2060,4405
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",89,3,10,22,54
"Profes., científicos e intelectuales (002)",4713,940,829,1042,1902
"Técnicos de nivel medio y trab. asimilados (003)",1481,655,174,127,525
"Jefes y empleados de oficina (004)",1476,204,153,160,959
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4944,4427,294,100,123
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4928,4192,733,3,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1539,1280,153,59,47
"Obreros construc.,conf.,papel, fab., instr. (008)",2622,1959,326,213,124
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",8860,6823,1322,293,422
"Otra (010)",215,,,,215
"Ocupación no especificada (011)",685,532,78,41,34
"Hombres (012)",20119,13234,3034,1285,2566
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",69,2,9,14,44
"Profes., científicos e intelectuales (014)",2482,488,453,549,992
"Técnicos de nivel medio y trab. asimilados (015)",975,469,124,95,287
"Jefes y empleados de oficina (016)",728,77,61,72,518
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1541,1242,138,72,89
"Agricult.trabaj.calif.agrop.y pesqueros (018)",4464,3780,681,3,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1292,1077,126,47,42
"Obreros construc.,conf.,papel, fab., instr. (020)",2554,1911,322,204,117
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",5461,3939,1070,202,250
"Otra (022)",208,,,,208
"Ocupación no especificada (023)",345,249,50,27,19
"Mujeres (024)",11433,7781,1038,775,1839
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",20,1,1,8,10
"Profes., científicos e intelectuales (026)",2231,452,376,493,910
"Técnicos de nivel medio y trab. asimilados (027)",506,186,50,32,238
"Jefes y empleados de oficina (028)",748,127,92,88,441
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",3403,3185,156,28,34
"Agricult.trabaj.calif.agrop.y pesqueros (030)",464,412,52,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",247,203,27,12,5
"Obreros construc.,conf.,papel, fab., instr. (032)",68,48,4,9,7
