"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia EL DORADO (000)",13708,878,5113,4341,2719,657
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",17,,,9,8,
"Profes., científicos e intelectuales (002)",429,,96,251,82,
"Técnicos de nivel medio y trab. asimilados (003)",88,,26,41,19,2
"Jefes y empleados de oficina (004)",111,,47,49,15,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",572,5,174,242,123,28
"Agricult. trabaj. calif.agrop. y pesqueros (006)",6567,107,2080,2308,1618,454
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",194,6,66,70,46,6
"Obreros construc., conf., papel, fab., instr. (008)",267,,110,108,43,6
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",5212,759,2423,1178,711,141
"Otra (010)",2,,1,1,,
"Ocupación no especificada (011)",249,1,90,84,54,20
"Hombres (012)",9889,570,3725,3142,1968,484
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",13,,,6,7,
"Profes., científicos e intelectuales (014)",244,,47,137,60,
"Técnicos de nivel medio y trab. asimilados (015)",61,,19,24,16,2
"Jefes y empleados de oficina (016)",70,,24,35,11,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",238,1,66,101,58,12
"Agricult. trabaj. calif.agrop. y pesqueros (018)",5909,83,1795,2150,1487,394
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",155,5,56,55,34,5
"Obreros construc., conf., papel, fab., instr. (020)",262,,108,106,42,6
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",2828,480,1569,491,230,58
"Otra (022)",2,,1,1,,
"Ocupación no especificada (023)",107,1,40,36,23,7
"Mujeres (024)",3819,308,1388,1199,751,173
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",4,,,3,1,
"Profes., científicos e intelectuales (026)",185,,49,114,22,
"Técnicos de nivel medio y trab. asimilados (027)",27,,7,17,3,
"Jefes y empleados de oficina (028)",41,,23,14,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",334,4,108,141,65,16
"Agricult. trabaj. calif.agrop. y pesqueros (030)",658,24,285,158,131,60
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",39,1,10,15,12,1
"Obreros construc., conf., papel, fab., instr. (032)",5,,2,2,1,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",2384,279,854,687,481,83
"Ocupación no especificada (035)",142,,50,48,31,13
