"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CHUPACA (000)",19799,3007,3865,8854,193,2813,305,762
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",34,34,,,,,,
"Profes., científicos e intelectuales (002)",1542,1331,,189,11,11,,
"Técnicos de nivel medio y trab. asimilados (003)",383,215,,151,8,7,2,
"Jefes y empleados de oficina (004)",350,350,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1717,341,21,1129,35,191,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4799,2,2,4705,87,3,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1465,,541,845,26,53,,
"Obreros construc.,conf.,papel, fab., instr. (008)",1716,226,526,936,14,14,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",6537,332,2704,731,2,2465,303,
"Otra (010)",91,91,,,,,,
"Ocupaciñn no especificada (011)",403,85,71,168,10,69,,
"Desocupado (012)",762,,,,,,,762
"Hombres (013)",11916,1805,2738,5634,128,1048,18,545
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",28,28,,,,,,
"Profes., científicos e intelectuales (015)",855,702,,140,9,4,,
"Técnicos de nivel medio y trab. asimilados (016)",266,137,,117,6,5,1,
"Jefes y empleados de oficina (017)",210,210,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",643,191,13,390,14,35,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",3110,1,2,3045,60,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",1246,,503,697,20,26,,
"Obreros construc.,conf.,papel, fab., instr. (021)",1694,225,520,921,14,14,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",3059,178,1653,267,2,942,17,
"Otra (023)",86,86,,,,,,
"Ocupaciñn no especificada (024)",174,47,47,57,3,20,,
"Desocupado (025)",545,,,,,,,545
"Mujeres (026)",7883,1202,1127,3220,65,1765,287,217
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",6,6,,,,,,
"Profes., científicos e intelectuales (028)",687,629,,49,2,7,,
"Técnicos de nivel medio y trab. asimilados (029)",117,78,,34,2,2,1,
"Jefes y empleados de oficina (030)",140,140,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1074,150,8,739,21,156,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",1689,1,,1660,27,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",219,,38,148,6,27,,
"Obreros construc.,conf.,papel, fab., instr. (034)",22,1,6,15,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",3478,154,1051,464,,1523,286,
"Otra (036)",5,5,,,,,,
"Ocupaciñn no especificada (037)",229,38,24,111,7,49,,
"Desocupado (038)",217,,,,,,,217
,,,,,,,,
"URBANA (039)",12553,2438,2133,5698,153,1474,159,498
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",24,24,,,,,,
"Profes., científicos e intelectuales (041)",1287,1108,,158,10,11,,
"Técnicos de nivel medio y trab. asimilados (042)",296,175,,107,5,7,2,
"Jefes y empleados de oficina (043)",266,266,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",1434,277,18,932,35,172,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",2372,1,2,2310,57,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",1152,,370,714,25,43,,
"Obreros construc.,conf.,papel, fab., instr. (047)",1294,166,374,736,9,9,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",3538,278,1309,618,2,1174,157,
"Otra (049)",78,78,,,,,,
"Ocupaciñn no especificada (050)",314,65,60,123,10,56,,
"Desocupado (051)",498,,,,,,,498
"Hombres (052)",7491,1438,1551,3510,101,543,11,337
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",20,20,,,,,,
"Profes., científicos e intelectuales (054)",709,577,,120,8,4,,
"Técnicos de nivel medio y trab. asimilados (055)",205,116,,79,4,5,1,
"Jefes y empleados de oficina (056)",155,155,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",522,152,10,314,14,32,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1471,,2,1427,41,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",979,,346,593,20,20,,
"Obreros construc.,conf.,papel, fab., instr. (060)",1279,166,370,725,9,9,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",1616,146,787,214,2,457,10,
"Otra (062)",74,74,,,,,,
"Ocupaciñn no especificada (063)",124,32,36,38,3,15,,
"Desocupado (064)",337,,,,,,,337
"Mujeres (065)",5062,1000,582,2188,52,931,148,161
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",4,4,,,,,,
"Profes., científicos e intelectuales (067)",578,531,,38,2,7,,
"Técnicos de nivel medio y trab. asimilados (068)",91,59,,28,1,2,1,
"Jefes y empleados de oficina (069)",111,111,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",912,125,8,618,21,140,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",901,1,,883,16,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",173,,24,121,5,23,,
"Obreros construc.,conf.,papel, fab., instr. (073)",15,,4,11,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",1922,132,522,404,,717,147,
"Otra (075)",4,4,,,,,,
"Ocupaciñn no especificada (076)",190,33,24,85,7,41,,
"Desocupado (077)",161,,,,,,,161
,,,,,,,,
"RURAL (078)",7246,569,1732,3156,40,1339,146,264
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",10,10,,,,,,
"Profes., científicos e intelectuales (080)",255,223,,31,1,,,
"Técnicos de nivel medio y trab. asimilados (081)",87,40,,44,3,,,
"Jefes y empleados de oficina (082)",84,84,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",283,64,3,197,,19,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",2427,1,,2395,30,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",313,,171,131,1,10,,
"Obreros construc.,conf.,papel, fab., instr. (086)",422,60,152,200,5,5,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",2999,54,1395,113,,1291,146,
"Otra (088)",13,13,,,,,,
"Ocupaciñn no especificada (089)",89,20,11,45,,13,,
"Desocupado (090)",264,,,,,,,264
"Hombres (091)",4425,367,1187,2124,27,505,7,208
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",8,8,,,,,,
"Profes., científicos e intelectuales (093)",146,125,,20,1,,,
"Técnicos de nivel medio y trab. asimilados (094)",61,21,,38,2,,,
"Jefes y empleados de oficina (095)",55,55,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",121,39,3,76,,3,,
