"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CALCA (000)",16926,79,279,728,1648,3372,6047,4773
"De 12 a 14 años (001)",37,,,,,,1,36
"De 15 a 19 años (002)",390,,,,,,203,187
"De 20 a 24 años (003)",1866,,,,,3,1011,852
"De 25 a 29 años (004)",2143,,,,,72,1376,695
"De 30 a 34 años (005)",2131,,,,,325,1334,472
"De 35 a 39 años (006)",2034,,,,18,588,1079,349
"De 40 a 44 años (007)",1801,,,,66,748,663,324
"De 45 a 49 años (008)",1500,,,5,213,727,320,235
"De 50 y más años (009)",5024,79,279,723,1351,909,60,1623
"Sin nivel (010)",5577,56,178,402,770,1076,1451,1644
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",30,,,,,,24,6
"De 20 a 24 años (013)",188,,,,,,125,63
"De 25 a 29 años (014)",358,,,,,13,271,74
"De 30 a 34 años (015)",446,,,,,50,313,83
"De 35 a 39 años (016)",473,,,,2,89,304,78
"De 40 a 44 años (017)",574,,,,15,200,234,125
"De 45 a 49 años (018)",519,,,1,52,237,144,85
"De 50 y más años (019)",2988,56,178,401,701,487,36,1129
"Educacion Inicial (020)",37,,,,,3,23,11
"De 15 a 19 años (022)",5,,,,,,2,3
"De 20 a 24 años (023)",2,,,,,,2,
"De 25 a 29 años (024)",12,,,,,,7,5
"De 30 a 34 años (025)",11,,,,,1,8,2
"De 35 a 39 años (026)",7,,,,,2,4,1
"Primaria (030)",6272,20,68,219,590,1486,2545,1344
"De 12 a 14 años (031)",21,,,,,,1,20
"De 15 a 19 años (032)",160,,,,,,86,74
"De 20 a 24 años (033)",642,,,,,2,398,242
"De 25 a 29 años (034)",832,,,,,25,614,193
"De 30 a 34 años (035)",886,,,,,164,568,154
"De 35 a 39 años (036)",883,,,,7,307,442,127
"De 40 a 44 años (037)",750,,,,26,333,290,101
"De 45 a 49 años (038)",642,,,3,102,317,130,90
"De 50 y más años (039)",1456,20,68,216,455,338,16,343
"Secundaria (040)",3385,1,17,65,188,553,1483,1078
"De 12 a 14 años (041)",15,,,,,,,15
"De 15 a 19 años (042)",185,,,,,,87,98
"De 20 a 24 años (043)",767,,,,,1,421,345
"De 25 a 29 años (044)",591,,,,,24,346,221
"De 30 a 34 años (045)",497,,,,,79,296,122
"De 35 a 39 años (046)",441,,,,6,139,210,86
"De 40 a 44 años (047)",303,,,,20,140,86,57
"De 45 a 49 años (048)",221,,,1,37,113,32,38
"De 50 y más años (049)",365,1,17,64,125,57,5,96
"Sup. no Univ. incompleta (050)",352,,1,5,11,50,134,151
