"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MARISCAL RAMON CASTILLA (000)",52872,15007,37865
"Casa independiente (001)",32623,14466,18157
"Departamento en edificio (002)",7,7,
"Vivienda en quinta (003)",386,386,
"Vivienda en casa de vecindad (004)",30,30,
"Choza o cabaña (005)",19681,,19681
"Vivienda improvisada (006)",91,91,
"Local no dest.para hab. humana (007)",47,22,25
"Otro tipo (008)",7,5,2
