"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia MARAÑON (000)",6142,9,64,266,528,1113,2945,1217
"De 12 a 14 años (001)",11,,,,,,1,10
"De 15 a 19 años (002)",274,,,,,,186,88
"De 20 a 24 años (003)",802,,,,,2,555,245
"De 25 a 29 años (004)",782,,,,,22,600,160
"De 30 a 34 años (005)",772,,,,,103,554,115
"De 35 a 39 años (006)",770,,,,2,168,520,80
"De 40 a 44 años (007)",565,,,,10,182,317,56
"De 45 a 49 años (008)",515,,,,33,235,183,64
"De 50 y más años (009)",1651,9,64,266,483,401,29,399
"Sin nivel (010)",2285,9,49,224,347,441,747,468
"De 15 a 19 años (012)",19,,,,,,14,5
"De 20 a 24 años (013)",84,,,,,,67,17
"De 25 a 29 años (014)",139,,,,,4,111,24
"De 30 a 34 años (015)",183,,,,,19,136,28
"De 35 a 39 años (016)",214,,,,2,21,171,20
"De 40 a 44 años (017)",217,,,,2,51,139,25
"De 45 a 49 años (018)",234,,,,10,102,89,33
"De 50 y más años (019)",1195,9,49,224,333,244,20,316
"Educacion Inicial (020)",13,,,,,1,7,5
"De 12 a 14 años (021)",1,,,,,,,1
"De 20 a 24 años (023)",1,,,,,,1,
"De 25 a 29 años (024)",4,,,,,,2,2
"De 30 a 34 años (025)",4,,,,,,2,2
"De 35 a 39 años (026)",3,,,,,1,2,
"Primaria (030)",2639,,13,37,148,498,1519,424
"De 12 a 14 años (031)",7,,,,,,,7
"De 15 a 19 años (032)",150,,,,,,100,50
"De 20 a 24 años (033)",431,,,,,2,315,114
"De 25 a 29 años (034)",386,,,,,8,312,66
"De 30 a 34 años (035)",374,,,,,43,288,43
"De 35 a 39 años (036)",410,,,,,103,267,40
"De 40 a 44 años (037)",271,,,,3,103,146,19
"De 45 a 49 años (038)",219,,,,13,104,83,19
"De 50 y más años (039)",391,,13,37,132,135,8,66
"Secundaria (040)",873,,1,3,21,112,512,224
"De 12 a 14 años (041)",3,,,,,,1,2
"De 15 a 19 años (042)",103,,,,,,72,31
"De 20 a 24 años (043)",262,,,,,,161,101
"De 25 a 29 años (044)",182,,,,,7,136,39
"De 30 a 34 años (045)",116,,,,,23,76,17
"De 35 a 39 años (046)",74,,,,,27,38,9
"De 40 a 44 años (047)",50,,,,3,19,20,8
"De 45 a 49 años (048)",47,,,,6,22,8,11
"De 50 y más años (049)",36,,1,3,12,14,,6
"Sup. no Univ. incompleta (050)",39,,,,1,4,18,16
"De 15 a 19 años (052)",1,,,,,,,1
"De 20 a 24 años (053)",7,,,,,,1,6
"De 25 a 29 años (054)",16,,,,,,11,5
