"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN ROMAN (000)",90010,69701,7115,6027,7167
"Agric., ganadería, caza y silvicultura (001)",7948,7556,311,56,25
"Pesca (002)",21,15,3,3,
"Explotación de minas y canteras (003)",1052,298,145,228,381
"Industrias manufactureras (004)",12306,10450,1171,408,277
"Suministro de electricidad, gas y agua (005)",155,14,13,82,46
"Construcción (006)",5761,4341,638,463,319
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",26416,24861,1144,338,73
"Venta, mant.y rep. veh.autom y motoc. (008)",2490,2162,244,55,29
"Comercio al por mayor (009)",1432,1167,131,90,44
"Comercio al por menor (010)",22494,21532,769,193,
"Hoteles y restaurantes (011)",4952,4416,422,103,11
"Trans., almac. y comunicaciones (012)",10715,9347,631,461,276
"Intermediación financiera (013)",437,115,43,214,65
"Activid.inmobil., empres. y alquileres (014)",2944,1858,390,397,299
"Admin.pub. y defensa; p. segur soc.afil (015)",2695,,,,2695
"Enseñanza (016)",7054,1108,1549,2900,1497
"Servicios sociales y de salud (017)",1797,595,95,85,1022
"Otras activ. serv.comun.soc y personales (018)",2085,1512,378,140,55
"Hogares privados con servicio doméstico (019)",1279,1279,,,
"Actividad economica no especificada (021)",2393,1936,182,149,126
"Hombres (022)",52209,38455,4710,4032,5012
"Agric., ganadería, caza y silvicultura (023)",4400,4146,192,40,22
"Pesca (024)",20,14,3,3,
"Explotación de minas y canteras (025)",991,267,135,222,367
"Industrias manufactureras (026)",7490,6238,785,263,204
"Suministro de electricidad, gas y agua (027)",136,12,11,71,42
"Construcción (028)",5608,4253,624,426,305
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",11036,10099,668,208,61
"Venta, mant.y rep. veh.autom y motoc. (030)",2154,1856,220,51,27
"Comercio al por mayor (031)",713,546,79,54,34
"Comercio al por menor (032)",8169,7697,369,103,
"Hoteles y restaurantes (033)",1310,1081,168,52,9
"Trans., almac. y comunicaciones (034)",9896,8689,558,405,244
"Intermediación financiera (035)",238,50,23,128,37
"Activid.inmobil., empres. y alquileres (036)",2131,1322,285,301,223
"Admin.pub. y defensa; p. segur soc.afil (037)",2012,,,,2012
"Enseñanza (038)",4068,504,877,1695,992
"Servicios sociales y de salud (039)",734,283,40,36,375
