"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CHUCUITO (000)",43840,3711,2687,28703,256,7649,834
"Agric., ganadería, caza y silvicultura (001)",25379,18,923,17666,120,6652,
"Pesca (002)",318,1,27,225,,65,
"Explotación de minas y canteras (003)",64,9,35,13,1,6,
"Industrias manufactureras (004)",1449,10,145,1112,20,162,
"Suministro de electricidad, gas y agua (005)",19,7,11,1,,,
"Construcción (006)",1493,30,1029,390,13,31,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5203,150,45,4456,47,505,
"Venta, mant.y rep. veh.autom.y motoc. (008)",322,4,36,250,11,21,
"Comercio al por mayor (009)",164,5,1,144,1,13,
"Comercio al por menor (010)",4717,141,8,4062,35,471,
"Hoteles y restaurantes (011)",1214,111,51,989,13,50,
"Trans., almac. y comunicaciones (012)",3512,251,281,2889,34,57,
"Intermediación financiera (013)",48,44,1,2,,1,
"Activid.inmobil., empres. y alquileres (014)",242,155,13,70,3,1,
"Admin.pub. y defensa; p. segur.soc.afil (015)",988,913,75,,,,
"Enseñanza (016)",1704,1612,,88,,4,
"Servicios sociales y de salud (017)",308,254,4,50,,,
"Otras activ. serv.comun.soc y personales (018)",272,64,8,181,3,16,
"Hogares privados con servicio doméstico (019)",834,,,,,,834
"Actividad economica no especificada (021)",793,82,39,571,2,99,
"Hombres (022)",27164,2765,2192,19322,193,2624,68
"Agric., ganadería, caza y silvicultura (023)",15931,17,544,12998,89,2283,
"Pesca (024)",233,1,19,167,,46,
"Explotación de minas y canteras (025)",61,8,35,13,1,4,
"Industrias manufactureras (026)",669,8,122,472,13,54,
"Suministro de electricidad, gas y agua (027)",19,7,11,1,,,
"Construcción (028)",1469,28,1015,385,13,28,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2061,86,45,1788,33,109,
"Venta, mant.y rep. veh.autom.y motoc. (030)",256,3,36,196,11,10,
"Comercio al por mayor (031)",71,4,1,64,,2,
"Comercio al por menor (032)",1734,79,8,1528,22,97,
"Hoteles y restaurantes (033)",216,44,18,142,4,8,
"Trans., almac. y comunicaciones (034)",3389,225,268,2810,32,54,
"Intermediación financiera (035)",34,31,1,2,,,
"Activid.inmobil., empres. y alquileres (036)",208,130,13,61,3,1,
"Admin.pub. y defensa; p. segur.soc.afil (037)",814,751,63,,,,
"Enseñanza (038)",1268,1214,,52,,2,
"Servicios sociales y de salud (039)",167,116,3,48,,,
"Otras activ. serv.comun.soc y personales (040)",181,51,5,118,3,4,
"Hogares privados con servicio doméstico (041)",68,,,,,,68
"Actividad economica no especificada (043)",376,48,30,265,2,31,
"Mujeres (044)",16676,946,495,9381,63,5025,766
"Agric., ganadería, caza y silvicultura (045)",9448,1,379,4668,31,4369,
"Pesca (046)",85,,8,58,,19,
"Explotación de minas y canteras (047)",3,1,,,,2,
"Industrias manufactureras (048)",780,2,23,640,7,108,
"Construcción (050)",24,2,14,5,,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",3142,64,,2668,14,396,
"Venta, mant.y rep. veh.autom.y motoc. (052)",66,1,,54,,11,
"Comercio al por mayor (053)",93,1,,80,1,11,
"Comercio al por menor (054)",2983,62,,2534,13,374,
"Hoteles y restaurantes (055)",998,67,33,847,9,42,
"Trans., almac. y comunicaciones (056)",123,26,13,79,2,3,
"Intermediación financiera (057)",14,13,,,,1,
"Activid.inmobil., empres. y alquileres (058)",34,25,,9,,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",174,162,12,,,,
"Enseñanza (060)",436,398,,36,,2,
"Servicios sociales y de salud (061)",141,138,1,2,,,
"Otras activ. serv.comun.soc y personales (062)",91,13,3,63,,12,
"Hogares privados con servicio doméstico (063)",766,,,,,,766
"Actividad economica no especificada (065)",417,34,9,306,,68,
,,,,,,,
"URBANA (066)",12309,2360,930,7672,90,976,281
"Agric., ganadería, caza y silvicultura (067)",2236,16,146,1531,15,528,
"Pesca (068)",74,1,11,55,,7,
"Explotación de minas y canteras (069)",34,4,21,8,,1,
"Industrias manufactureras (070)",594,5,39,505,11,34,
"Suministro de electricidad, gas y agua (071)",16,6,9,1,,,
"Construcción (072)",604,20,418,145,6,15,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",3194,109,22,2727,27,309,
"Venta, mant.y rep. veh.autom.y motoc. (074)",178,3,19,140,4,12,
"Comercio al por mayor (075)",111,3,1,98,,9,
"Comercio al por menor (076)",2905,103,2,2489,23,288,
"Hoteles y restaurantes (077)",783,84,33,626,11,29,
"Trans., almac. y comunicaciones (078)",1984,198,146,1616,14,10,
"Intermediación financiera (079)",38,36,,1,,1,
"Activid.inmobil., empres. y alquileres (080)",164,101,11,49,2,1,
"Admin.pub. y defensa; p. segur.soc.afil (081)",666,620,46,,,,
"Enseñanza (082)",915,874,,41,,,
"Servicios sociales y de salud (083)",207,187,2,18,,,
"Otras activ. serv.comun.soc y personales (084)",180,50,5,114,2,9,
"Hogares privados con servicio doméstico (085)",281,,,,,,281
"Actividad economica no especificada (087)",339,49,21,235,2,32,
"Hombres (088)",7519,1688,816,4575,65,335,40
"Agric., ganadería, caza y silvicultura (089)",1441,15,87,1135,11,193,
"Pesca (090)",56,1,9,42,,4,
"Explotación de minas y canteras (091)",34,4,21,8,,1,
"Industrias manufactureras (092)",306,5,36,236,9,20,
"Suministro de electricidad, gas y agua (093)",16,6,9,1,,,
"Construcción (094)",594,19,413,144,6,12,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1250,65,22,1070,17,76,
"Venta, mant.y rep. veh.autom.y motoc. (096)",139,3,19,107,4,6,
"Comercio al por mayor (097)",50,3,1,44,,2,
"Comercio al por menor (098)",1061,59,2,919,13,68,
"Hoteles y restaurantes (099)",175,37,13,113,4,8,
"Trans., almac. y comunicaciones (100)",1899,173,137,1568,12,9,
"Intermediación financiera (101)",25,24,,1,,,
"Activid.inmobil., empres. y alquileres (102)",138,81,11,43,2,1,
"Admin.pub. y defensa; p. segur.soc.afil (103)",545,507,38,,,,
"Enseñanza (104)",624,603,,21,,,
"Servicios sociales y de salud (105)",98,79,1,18,,,
"Otras activ. serv.comun.soc y personales (106)",115,40,2,70,2,1,
"Hogares privados con servicio doméstico (107)",40,,,,,,40
"Actividad economica no especificada (109)",163,29,17,105,2,10,
"Mujeres (110)",4790,672,114,3097,25,641,241
"Agric., ganadería, caza y silvicultura (111)",795,1,59,396,4,335,
"Pesca (112)",18,,2,13,,3,
"Industrias manufactureras (114)",288,,3,269,2,14,
"Construcción (116)",10,1,5,1,,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1944,44,,1657,10,233,
"Venta, mant.y rep. veh.autom.y motoc. (118)",39,,,33,,6,
"Comercio al por mayor (119)",61,,,54,,7,
"Comercio al por menor (120)",1844,44,,1570,10,220,
"Hoteles y restaurantes (121)",608,47,20,513,7,21,
