"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CONCEPCION (000)",22847,63237,56865,,1051,89.9,1.7
"De 12 a 14 años (001)",2184,18,18,,4,100,22.2
"De 15 a 19 años (002)",2918,383,372,114,97.1,29.8,
"De 20 a 24 años (003)",2401,1939,1878,256,96.9,13.2,
"De 25 a 29 años (004)",2108,3407,3266,219,95.9,6.4,
"De 30 a 34 años (005)",1993,4967,4752,233,95.7,4.7,
"De 35 a 39 años (006)",1972,6444,6066,149,94.1,2.3,
"De 40 a 44 años (007)",1740,6901,6457,60,93.6,0.9,
"De 45 a 49 años (008)",1466,6799,6263,16,92.1,0.2,
"De 50 y más años (009)",6065,32379,27793,,85.8,,
"Sin nivel (010)",3171,16830,14190,83,84.3,0.5,
"De 12 a 14 años (011)",16,,,,,,
"De 15 a 19 años (012)",48,12,11,2,91.7,16.7,
"De 20 a 24 años (013)",51,83,82,7,98.8,8.4,
"De 25 a 29 años (014)",66,147,142,8,96.6,5.4,
"De 30 a 34 años (015)",163,523,499,36,95.4,6.9,
"De 35 a 39 años (016)",171,682,640,17,93.8,2.5,
"De 40 a 44 años (017)",180,995,896,9,90.1,0.9,
"De 45 a 49 años (018)",245,1396,1247,4,89.3,0.3,
"De 50 y más años (019)",2231,12992,10673,,82.2,,
"Educacion Inicial (020)",37,82,80,8,97.6,9.8,
"De 12 a 14 años (021)",6,,,,,,
"De 15 a 19 años (022)",3,3,3,,100,,
"De 20 a 24 años (023)",4,,,,,,
"De 25 a 29 años (024)",8,21,21,2,100,9.5,
"De 30 a 34 años (025)",11,39,37,4,94.9,10.3,
"De 35 a 39 años (026)",5,19,19,2,100,10.5,
"Primaria (030)",8091,30194,27239,429,90.2,1.4,
"De 12 a 14 años (031)",948,7,7,2,100,28.6,
"De 15 a 19 años (032)",395,112,108,37,96.4,33,
"De 20 a 24 años (033)",534,757,722,90,95.4,11.9,
"De 25 a 29 años (034)",609,1517,1441,79,95,5.2,
"De 30 a 34 años (035)",704,2341,2211,97,94.4,4.1,
"De 35 a 39 años (036)",768,3172,2951,81,93,2.6,
"De 40 a 44 años (037)",735,3501,3265,33,93.3,0.9,
"De 45 a 49 años (038)",621,3406,3113,10,91.4,0.3,
"De 50 y más años (039)",2777,15381,13421,,87.3,,
