"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ASCOPE (000)",37960,8102,13843,13192,726,1207,890
"Agric., ganadería, caza y silvicultura (001)",11389,235,7604,2624,433,493,
"Pesca (002)",406,22,302,75,3,4,
"Explotación de minas y canteras (003)",68,18,42,5,2,1,
"Industrias manufactureras (004)",4041,679,2367,925,28,42,
"Suministro de electricidad, gas y agua (005)",86,26,52,8,,,
"Construcción (006)",2436,64,1601,736,17,18,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6412,939,468,4446,101,458,
"Venta, mant.y rep. veh.autom.y motoc. (008)",706,86,332,272,13,3,
"Comercio al por mayor (009)",394,151,42,164,17,20,
"Comercio al por menor (010)",5312,702,94,4010,71,435,
"Hoteles y restaurantes (011)",1649,347,93,1101,44,64,
"Trans., almac. y comunicaciones (012)",3604,696,708,2121,52,27,
"Intermediación financiera (013)",128,118,4,4,2,,
"Activid.inmobil., empres. y alquileres (014)",1661,1192,152,300,12,5,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1145,999,146,,,,
"Enseñanza (016)",1971,1821,1,135,4,10,
"Servicios sociales y de salud (017)",536,436,7,89,4,,
"Otras activ. serv.comun.soc y personales (018)",823,317,80,409,7,10,
"Hogares privados con servicio doméstico (019)",890,,,,,,890
"Actividad economica no especificada (021)",715,193,216,214,17,75,
"Hombres (022)",27855,4782,12884,8932,610,621,26
"Agric., ganadería, caza y silvicultura (023)",10575,207,7037,2498,414,419,
"Pesca (024)",394,20,296,72,3,3,
"Explotación de minas y canteras (025)",59,12,40,5,1,1,
"Industrias manufactureras (026)",3531,572,2259,646,26,28,
"Suministro de electricidad, gas y agua (027)",70,16,47,7,,,
"Construcción (028)",2384,55,1568,728,17,16,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",3124,498,458,2009,59,100,
"Venta, mant.y rep. veh.autom.y motoc. (030)",661,64,325,258,12,2,
"Comercio al por mayor (031)",247,100,42,88,12,5,
"Comercio al por menor (032)",2216,334,91,1663,35,93,
"Hoteles y restaurantes (033)",369,85,29,222,18,15,
"Trans., almac. y comunicaciones (034)",3396,560,696,2079,45,16,
"Intermediación financiera (035)",76,69,3,2,2,,
"Activid.inmobil., empres. y alquileres (036)",1307,911,135,247,9,5,
"Admin.pub. y defensa; p. segur.soc.afil (037)",746,637,109,,,,
"Enseñanza (038)",778,707,1,64,3,3,
"Servicios sociales y de salud (039)",198,140,3,54,1,,
"Otras activ. serv.comun.soc y personales (040)",486,203,70,201,6,6,
"Hogares privados con servicio doméstico (041)",26,,,,,,26
"Actividad economica no especificada (043)",336,90,133,98,6,9,
"Mujeres (044)",10105,3320,959,4260,116,586,864
"Agric., ganadería, caza y silvicultura (045)",814,28,567,126,19,74,
"Pesca (046)",12,2,6,3,,1,
"Explotación de minas y canteras (047)",9,6,2,,1,,
"Industrias manufactureras (048)",510,107,108,279,2,14,
"Suministro de electricidad, gas y agua (049)",16,10,5,1,,,
"Construcción (050)",52,9,33,8,,2,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",3288,441,10,2437,42,358,
"Venta, mant.y rep. veh.autom.y motoc. (052)",45,22,7,14,1,1,
"Comercio al por mayor (053)",147,51,,76,5,15,
"Comercio al por menor (054)",3096,368,3,2347,36,342,
"Hoteles y restaurantes (055)",1280,262,64,879,26,49,
"Trans., almac. y comunicaciones (056)",208,136,12,42,7,11,
"Intermediación financiera (057)",52,49,1,2,,,
"Activid.inmobil., empres. y alquileres (058)",354,281,17,53,3,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",399,362,37,,,,
"Enseñanza (060)",1193,1114,,71,1,7,
"Servicios sociales y de salud (061)",338,296,4,35,3,,
"Otras activ. serv.comun.soc y personales (062)",337,114,10,208,1,4,
"Hogares privados con servicio doméstico (063)",864,,,,,,864
"Actividad economica no especificada (065)",379,103,83,116,11,66,
,,,,,,,
"URBANA (066)",33145,7752,11196,11834,579,958,826
"Agric., ganadería, caza y silvicultura (067)",7769,216,5223,1755,298,277,
"Pesca (068)",394,21,292,74,3,4,
"Explotación de minas y canteras (069)",64,16,40,5,2,1,
"Industrias manufactureras (070)",3898,652,2272,905,27,42,
"Suministro de electricidad, gas y agua (071)",86,26,52,8,,,
"Construcción (072)",2342,61,1544,703,17,17,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",6115,891,444,4248,95,437,
"Venta, mant.y rep. veh.autom.y motoc. (074)",661,78,312,255,13,3,
"Comercio al por mayor (075)",371,145,42,152,16,16,
"Comercio al por menor (076)",5083,668,90,3841,66,418,
"Hoteles y restaurantes (077)",1602,338,88,1072,44,60,
"Trans., almac. y comunicaciones (078)",3354,663,664,1953,50,24,
"Intermediación financiera (079)",124,114,4,4,2,,
"Activid.inmobil., empres. y alquileres (080)",1582,1130,145,290,12,5,
"Admin.pub. y defensa; p. segur.soc.afil (081)",1096,959,137,,,,
"Enseñanza (082)",1903,1759,1,130,4,9,
"Servicios sociales y de salud (083)",518,421,6,87,4,,
"Otras activ. serv.comun.soc y personales (084)",789,302,76,395,7,9,
"Hogares privados con servicio doméstico (085)",826,,,,,,826
"Actividad economica no especificada (087)",683,183,208,205,14,73,
"Hombres (088)",23716,4567,10439,7787,474,424,25
"Agric., ganadería, caza y silvicultura (089)",7215,190,4834,1675,285,231,
"Pesca (090)",382,19,286,71,3,3,
"Explotación de minas y canteras (091)",56,11,38,5,1,1,
"Industrias manufactureras (092)",3409,548,2173,635,25,28,
"Suministro de electricidad, gas y agua (093)",70,16,47,7,,,
"Construcción (094)",2295,54,1513,696,17,15,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",2984,473,435,1924,57,95,
"Venta, mant.y rep. veh.autom.y motoc. (096)",619,58,305,242,12,2,
"Comercio al por mayor (097)",234,96,42,80,12,4,
"Comercio al por menor (098)",2131,319,88,1602,33,89,
"Hoteles y restaurantes (099)",361,83,28,217,18,15,
"Trans., almac. y comunicaciones (100)",3153,530,653,1914,43,13,
"Intermediación financiera (101)",73,66,3,2,2,,
"Activid.inmobil., empres. y alquileres (102)",1240,859,128,239,9,5,
"Admin.pub. y defensa; p. segur.soc.afil (103)",726,626,100,,,,
"Enseñanza (104)",749,679,1,63,3,3,
"Servicios sociales y de salud (105)",192,135,3,53,1,,
"Otras activ. serv.comun.soc y personales (106)",467,193,68,194,6,6,
"Hogares privados con servicio doméstico (107)",25,,,,,,25
"Actividad economica no especificada (109)",319,85,129,92,4,9,
"Mujeres (110)",9429,3185,757,4047,105,534,801
"Agric., ganadería, caza y silvicultura (111)",554,26,389,80,13,46,
"Pesca (112)",12,2,6,3,,1,
"Explotación de minas y canteras (113)",8,5,2,,1,,
"Industrias manufactureras (114)",489,104,99,270,2,14,
"Suministro de electricidad, gas y agua (115)",16,10,5,1,,,
"Construcción (116)",47,7,31,7,,2,
