"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHOTA (000)",159146,31640,127506
"Casa independiente (001)",156428,30937,125491
"Departamento en edificio (002)",243,243,
"Vivienda en quinta (003)",236,236,
"Vivienda en casa de vecindad (004)",195,195,
"Choza o cabaña (005)",1976,,1976
"Vivienda improvisada (006)",1,1,
"Local no dest.para hab. humana (007)",59,21,38
"Otro tipo (008)",8,7,1
