"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SUCRE (000)",3714,85,891,1331,976,431
"Agric., ganadería, caza y silvicultura (001)",2166,70,471,629,618,378
"Explotación de minas y canteras (003)",51,,26,15,9,1
"Industrias manufactureras (004)",68,1,20,29,11,7
"Suministro de electricidad, gas y agua (005)",12,,5,6,1,
"Construcción (006)",120,1,39,54,21,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",242,4,55,98,67,18
"Venta, mant.y rep. veh.autom.y motoc. (008)",7,,3,3,1,
"Comercio al por mayor (009)",9,,3,5,1,
"Comercio al por menor (010)",226,4,49,90,65,18
"Hoteles y restaurantes (011)",47,,18,15,12,2
"Trans., almac. y comunicaciones (012)",38,1,12,18,5,2
"Intermediación financiera (013)",1,,,1,,
"Activid.inmobil., empres. y alquileres (014)",20,,5,8,7,
"Admin.pub. y defensa; p. segur.soc.afil (015)",153,,33,79,39,2
"Enseñanza (016)",506,,111,271,124,
"Servicios sociales y de salud (017)",60,,18,36,6,
"Otras activ. serv.comun.soc y personales (018)",17,1,9,5,2,
"Hogares privados con servicio doméstico (019)",20,2,9,6,3,
"Actividad economica no especificada (021)",193,5,60,61,51,16
"Hombres (022)",2581,58,619,933,668,303
"Agric., ganadería, caza y silvicultura (023)",1602,50,365,488,427,272
"Explotación de minas y canteras (025)",51,,26,15,9,1
"Industrias manufactureras (026)",55,1,15,24,10,5
"Suministro de electricidad, gas y agua (027)",11,,4,6,1,
"Construcción (028)",118,1,39,53,20,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",82,,18,32,25,7
"Venta, mant.y rep. veh.autom.y motoc. (030)",5,,3,1,1,
"Comercio al por mayor (031)",6,,2,3,1,
"Comercio al por menor (032)",71,,13,28,23,7
"Hoteles y restaurantes (033)",8,,3,2,2,1
"Trans., almac. y comunicaciones (034)",36,1,10,18,5,2
"Intermediación financiera (035)",1,,,1,,
"Activid.inmobil., empres. y alquileres (036)",15,,2,7,6,
"Admin.pub. y defensa; p. segur.soc.afil (037)",119,,19,66,32,2
"Enseñanza (038)",303,,60,154,89,
"Servicios sociales y de salud (039)",35,,8,21,6,
"Otras activ. serv.comun.soc y personales (040)",13,,8,4,1,
"Actividad economica no especificada (043)",132,5,42,42,35,8
"Mujeres (045)",1133,27,272,398,308,128
"Agric., ganadería, caza y silvicultura (046)",564,20,106,141,191,106
