"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia ACOMAYO (000)",9524,32216,26446,,556,82.1,1.7
"De 12 a 14 años (001)",1096,4,4,,1,100,25
"De 15 a 19 años (002)",999,134,131,47,97.8,35.1,
"De 20 a 24 años (003)",782,928,877,118,94.5,12.7,
"De 25 a 29 años (004)",816,1843,1765,125,95.8,6.8,
"De 30 a 34 años (005)",836,2890,2665,125,92.2,4.3,
"De 35 a 39 años (006)",875,3853,3494,92,90.7,2.4,
"De 40 a 44 años (007)",758,3917,3390,44,86.5,1.1,
"De 45 a 49 años (008)",607,3312,2769,4,83.6,0.1,
"De 50 y más años (009)",2755,15335,11351,,74,,
"Sin nivel (010)",3090,16311,12311,97,75.5,0.6,
"De 12 a 14 años (011)",5,1,1,1,100,100,
"De 15 a 19 años (012)",26,8,8,3,100,37.5,
"De 20 a 24 años (013)",47,82,76,6,92.7,7.3,
"De 25 a 29 años (014)",94,279,264,20,94.6,7.2,
"De 30 a 34 años (015)",142,553,494,24,89.3,4.3,
"De 35 a 39 años (016)",201,999,878,27,87.9,2.7,
"De 40 a 44 años (017)",232,1306,1055,13,80.8,1,
"De 45 a 49 años (018)",253,1450,1183,3,81.6,0.2,
"De 50 y más años (019)",2090,11633,8352,,71.8,,
"Educacion Inicial (020)",39,113,103,7,91.2,6.2,
"De 12 a 14 años (021)",4,,,,,,
"De 15 a 19 años (022)",3,1,1,,100,,
"De 20 a 24 años (023)",5,14,13,3,92.9,21.4,
"De 25 a 29 años (024)",7,18,15,2,83.3,11.1,
"De 30 a 34 años (025)",10,29,29,1,100,3.4,
"De 35 a 39 años (026)",10,51,45,1,88.2,2,
"Primaria (030)",3685,12886,11270,322,87.5,2.5,
"De 12 a 14 años (031)",599,1,1,,100,,
"De 15 a 19 años (032)",178,53,52,16,98.1,30.2,
"De 20 a 24 años (033)",298,515,476,65,92.4,12.6,
"De 25 a 29 años (034)",414,1121,1071,73,95.5,6.5,
"De 30 a 34 años (035)",472,1813,1665,87,91.8,4.8,
"De 35 a 39 años (036)",488,2297,2095,53,91.2,2.3,
"De 40 a 44 años (037)",399,2199,1948,27,88.6,1.2,
"De 45 a 49 años (038)",266,1557,1298,1,83.4,0.1,
"De 50 y más años (039)",571,3330,2664,,80,,
