"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUARI (000)",58721,2814,7042,8035,6210,9194,7537,12304,5585
"Sabe leer y escribir (001)",45319,,4747,7940,6103,8690,6663,8682,2494
"No sabe leer y escribir (002)",13402,2814,2295,95,107,504,874,3622,3091
"Hombres (004)",30161,1411,3533,4060,3279,5063,4136,6158,2521
"Sabe leer y escribir (005)",25647,,2380,4019,3250,4887,3929,5391,1791
"No sabe leer y escribir (006)",4514,1411,1153,41,29,176,207,767,730
"Mujeres (008)",28560,1403,3509,3975,2931,4131,3401,6146,3064
"Sabe leer y escribir (009)",19672,,2367,3921,2853,3803,2734,3291,703
"No sabe leer y escribir (010)",8888,1403,1142,54,78,328,667,2855,2361
,,,,,,,,,
"URBANA (012)",20992,1017,2374,2794,2283,3337,2795,4499,1893
"Sabe leer y escribir (013)",17679,,1767,2771,2263,3277,2655,3799,1147
"No sabe leer y escribir (014)",3313,1017,607,23,20,60,140,700,746
"Hombres (016)",10585,533,1199,1471,1198,1712,1372,2242,858
"Sabe leer y escribir (017)",9412,,883,1462,1193,1688,1338,2118,730
"No sabe leer y escribir (018)",1173,533,316,9,5,24,34,124,128
"Mujeres (020)",10407,484,1175,1323,1085,1625,1423,2257,1035
"Sabe leer y escribir (021)",8267,,884,1309,1070,1589,1317,1681,417
"No sabe leer y escribir (022)",2140,484,291,14,15,36,106,576,618
,,,,,,,,,
"RURAL (024)",37729,1797,4668,5241,3927,5857,4742,7805,3692
"Sabe leer y escribir (025)",27640,,2980,5169,3840,5413,4008,4883,1347
"No sabe leer y escribir (026)",10089,1797,1688,72,87,444,734,2922,2345
"Hombres (028)",19576,878,2334,2589,2081,3351,2764,3916,1663
"Sabe leer y escribir (029)",16235,,1497,2557,2057,3199,2591,3273,1061
"No sabe leer y escribir (030)",3341,878,837,32,24,152,173,643,602
"Mujeres (032)",18153,919,2334,2652,1846,2506,1978,3889,2029
"Sabe leer y escribir (033)",11405,,1483,2612,1783,2214,1417,1610,286
"No sabe leer y escribir (034)",6748,919,851,40,63,292,561,2279,1743
