"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PAITA (000)",28103,26461,82,5687,6167,4697,5414,2647,1200,567,1642,89106
"De 12 a 14 años (001)",26,11,1,8,2,,,,,,15,12
"De 15 a 19 años (002)",827,687,7,612,62,5,1,,,,140,755
"De 20 a 24 años (003)",3369,2854,15,1821,821,163,30,4,,,515,4100
"De 25 a 29 años (004)",4263,3908,8,1384,1618,668,216,13,1,,355,7620
"De 30 a 34 años (005)",3981,3799,3,685,1349,1009,692,60,,1,182,9769
"De 35 a 39 años (006)",3567,3430,13,402,929,959,916,183,23,5,137,10491
"De 40 a 44 años (007)",2959,2861,5,238,566,735,945,297,69,6,98,10214
"De 45 a 49 años (008)",2372,2320,8,160,329,457,811,408,107,40,52,9726
"De 50 y más años (009)",6739,6591,22,377,491,701,1803,1682,1000,515,148,36419
"Sin nivel (010)",3118,3007,9,199,285,359,764,686,448,257,111,16281
"De 12 a 14 años (011)",1,1,1,,,,,,,,,
"De 15 a 19 años (012)",15,14,,12,2,,,,,,1,16
"De 20 a 24 años (013)",56,43,,18,14,8,2,1,,,13,85
"De 25 a 29 años (014)",93,81,1,19,29,19,12,,1,,12,196
"De 30 a 34 años (015)",224,211,,19,50,62,67,12,,1,13,691
"De 35 a 39 años (016)",243,224,,17,33,64,81,23,4,2,19,825
"De 40 a 44 años (017)",268,252,,15,41,39,96,40,20,1,16,1074
"De 45 a 49 años (018)",258,252,1,11,20,33,78,68,26,15,6,1314
"De 50 y más años (019)",1960,1929,6,88,96,134,428,542,397,238,31,12080
"Educacion Inicial (020)",42,38,1,10,7,11,7,2,,,4,99
"De 20 a 24 años (023)",6,4,,2,1,1,,,,,2,7
