"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia CORONEL PORTILLO",,,,,,
"Viviendas particulares (001)",72167,70115,1708,274,64,6
"Ocupantes presentes (002)",328463,309311,14735,3330,959,128
"Casa independiente",,,,,,
"Viviendas particulares (004)",63918,62000,1616,248,48,6
"Ocupantes presentes (005)",297160,279333,13940,3036,723,128
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",428,409,12,2,5,
"Ocupantes presentes (008)",1311,1118,99,24,70,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",2532,2450,52,21,9,
"Ocupantes presentes (011)",7464,6670,428,236,130,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",525,504,18,2,1,
"Ocupantes presentes (014)",1951,1751,159,24,17,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",3832,3829,2,,1,
"Ocupantes presentes (017)",17128,17085,24,,19,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",796,787,8,1,,
"Ocupantes presentes (020)",3049,2954,85,10,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",106,106,,,,
"Ocupantes presentes (023)",281,281,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",30,30,,,,
"Ocupantes presentes (026)",119,119,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",60844,58812,1690,274,62,6
"Ocupantes presentes (029)",277747,258814,14551,3330,924,128
"Casa independiente",,,,,,
"Viviendas particulares (031)",56441,54540,1600,248,47,6
"Ocupantes presentes (032)",263644,245993,13780,3036,707,128
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",428,409,12,2,5,
"Ocupantes presentes (035)",1311,1118,99,24,70,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",2532,2450,52,21,9,
"Ocupantes presentes (038)",7464,6670,428,236,130,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",525,504,18,2,1,
"Ocupantes presentes (041)",1951,1751,159,24,17,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",796,787,8,1,,
"Ocupantes presentes (047)",3049,2954,85,10,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",102,102,,,,
"Ocupantes presentes (050)",266,266,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",20,20,,,,
"Ocupantes presentes (053)",62,62,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",11323,11303,18,,2,
"Ocupantes presentes (056)",50716,50497,184,,35,
"Casa independiente",,,,,,
"Viviendas particulares (058)",7477,7460,16,,1,
"Ocupantes presentes (059)",33516,33340,160,,16,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",3832,3829,2,,1,
"Ocupantes presentes (071)",17128,17085,24,,19,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",4,4,,,,
"Ocupantes presentes (077)",15,15,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",10,10,,,,
"Ocupantes presentes (080)",57,57,,,,
