"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia JORGE BASADRE (000)",3115,2974,756,564,635,407,357,155,73,27,141,6512
"De 12 a 14 años (001)",208,207,206,1,,,,,,,1,1
"De 15 a 19 años (002)",278,272,232,38,2,,,,,,6,42
"De 20 a 24 años (003)",376,336,134,152,43,4,3,,,,40,262
"De 25 a 29 años (004)",415,356,69,139,111,30,5,,2,,59,488
"De 30 a 34 años (005)",380,360,48,86,138,62,23,3,,,20,667
"De 35 a 39 años (006)",329,325,25,41,119,85,50,4,1,,4,781
"De 40 a 44 años (007)",271,268,15,41,82,66,56,7,1,,3,696
"De 45 a 49 años (008)",224,222,9,21,60,56,55,17,3,1,2,691
"De 50 y más años (009)",634,628,18,45,80,104,165,124,66,26,6,2884
"Sin nivel (010)",323,322,15,21,38,52,84,62,34,16,1,1481
"De 12 a 14 años (011)",4,4,4,,,,,,,,,
"De 15 a 19 años (012)",4,4,3,1,,,,,,,,1
"De 20 a 24 años (013)",6,6,2,2,2,,,,,,,6
"De 25 a 29 años (014)",1,1,1,,,,,,,,,
"De 30 a 34 años (015)",28,28,2,3,11,9,3,,,,,65
"De 35 a 39 años (016)",22,22,,1,3,12,5,1,,,,70
"De 40 a 44 años (017)",19,18,,2,3,4,7,2,,,1,63
"De 45 a 49 años (018)",28,28,,1,5,7,8,6,1,,,114
"De 50 y más años (019)",211,211,3,11,14,20,61,53,33,16,,1162
"Educacion Inicial (020)",9,9,8,,1,,,,,,,2
"De 12 a 14 años (021)",8,8,8,,,,,,,,,
"De 30 a 34 años (025)",1,1,,,1,,,,,,,2
"Primaria (030)",638,631,96,68,123,105,132,68,29,10,7,1996
"De 12 a 14 años (031)",66,66,65,1,,,,,,,,1
