"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MARISCAL NIETO (000)",31645,17497,2675,3581,7892
"Hombres (001)",19464,9592,1718,2425,5729
"Mujeres (002)",12181,7905,957,1156,2163
"De 06 a 14 años (003)",284,253,21,9,1
"Hombres (004)",169,156,9,3,1
"Mujeres (005)",115,97,12,6,
"De 15 a 29 años (006)",8760,4759,905,966,2130
"Hombres (007)",5247,2594,574,652,1427
"Mujeres (008)",3513,2165,331,314,703
"De 30 a 44 años (009)",12235,5873,1092,1729,3541
"Hombres (010)",7374,3039,674,1100,2561
"Mujeres (011)",4861,2834,418,629,980
"De 45 a 64 años (012)",8452,4940,599,815,2098
"Hombres (013)",5373,2708,416,616,1633
"Mujeres (014)",3079,2232,183,199,465
"De 65 y más años (015)",1914,1672,58,62,122
"Hombres (016)",1301,1095,45,54,107
"Mujeres (017)",613,577,13,8,15
,,,,,
"URBANA (018)",26327,14263,2467,3286,6311
"Hombres (019)",15802,7592,1578,2187,4445
"Mujeres (020)",10525,6671,889,1099,1866
"De 06 a 14 años (021)",252,226,16,9,1
"Hombres (022)",151,140,7,3,1
"Mujeres (023)",101,86,9,6,
"De 15 a 29 años (024)",7388,4066,811,885,1626
"Hombres (025)",4307,2174,514,592,1027
"Mujeres (026)",3081,1892,297,293,599
"De 30 a 44 años (027)",10413,4923,1034,1596,2860
"Hombres (028)",6098,2477,635,992,1994
"Mujeres (029)",4315,2446,399,604,866
"De 45 a 64 años (030)",6952,3925,555,742,1730
"Hombres (031)",4349,2074,383,553,1339
"Mujeres (032)",2603,1851,172,189,391
"De 65 y más años (033)",1322,1123,51,54,94
"Hombres (034)",897,727,39,47,84
"Mujeres (035)",425,396,12,7,10
,,,,,
"RURAL (036)",5318,3234,208,295,1581
"Hombres (037)",3662,2000,140,238,1284
"Mujeres (038)",1656,1234,68,57,297
"De 06 a 14 años (039)",32,27,5,,
"Hombres (040)",18,16,2,,
"Mujeres (041)",14,11,3,,
"De 15 a 29 años (042)",1372,693,94,81,504
"Hombres (043)",940,420,60,60,400
"Mujeres (044)",432,273,34,21,104
"De 30 a 44 años (045)",1822,950,58,133,681
"Hombres (046)",1276,562,39,108,567
"Mujeres (047)",546,388,19,25,114
"De 45 a 64 años (048)",1500,1015,44,73,368
"Hombres (049)",1024,634,33,63,294
"Mujeres (050)",476,381,11,10,74
"De 65 y más años (051)",592,549,7,8,28
"Hombres (052)",404,368,6,7,23
"Mujeres (053)",188,181,1,1,5
