"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia REQUENA (000)",14791,30,136,444,990,2533,7270,3388
"De 12 a 14 años (001)",73,,,,,,9,64
"De 15 a 19 años (002)",1266,,,,,,799,467
"De 20 a 24 años (003)",2257,,,,,3,1563,691
"De 25 a 29 años (004)",2099,,,,,50,1601,448
"De 30 a 34 años (005)",1834,,,,,199,1332,303
"De 35 a 39 años (006)",1732,,,,13,392,1058,269
"De 40 a 44 años (007)",1338,,,,34,502,578,224
"De 45 a 49 años (008)",1116,,,5,92,571,283,165
"De 50 y más años (009)",3076,30,136,439,851,816,47,757
"Sin nivel (010)",850,18,47,98,152,91,139,305
"De 12 a 14 años (011)",2,,,,,,1,1
"De 15 a 19 años (012)",16,,,,,,6,10
"De 20 a 24 años (013)",27,,,,,,10,17
"De 25 a 29 años (014)",40,,,,,,26,14
"De 30 a 34 años (015)",34,,,,,4,23,7
"De 35 a 39 años (016)",60,,,,,7,38,15
"De 40 a 44 años (017)",38,,,,,7,21,10
"De 45 a 49 años (018)",41,,,,4,17,9,11
"De 50 y más años (019)",592,18,47,98,148,56,5,220
"Educacion Inicial (020)",13,,,,,,8,5
"De 15 a 19 años (022)",3,,,,,,1,2
"De 20 a 24 años (023)",5,,,,,,2,3
"De 25 a 29 años (024)",1,,,,,,1,
"De 30 a 34 años (025)",4,,,,,,4,
"Primaria (030)",8073,10,84,310,655,1654,3835,1525
"De 12 a 14 años (031)",44,,,,,,4,40
"De 15 a 19 años (032)",554,,,,,,377,177
"De 20 a 24 años (033)",913,,,,,,695,218
"De 25 a 29 años (034)",957,,,,,19,783,155
"De 30 a 34 años (035)",902,,,,,97,682,123
"De 35 a 39 años (036)",958,,,,7,192,622,137
"De 40 a 44 años (037)",853,,,,11,301,411,130
"De 45 a 49 años (038)",761,,,3,42,404,225,87
"De 50 y más años (039)",2131,10,84,307,595,641,36,458
"Secundaria (040)",4769,1,3,24,114,582,2816,1229
"De 12 a 14 años (041)",27,,,,,,4,23
"De 15 a 19 años (042)",683,,,,,,412,271
"De 20 a 24 años (043)",1159,,,,,3,782,374
"De 25 a 29 años (044)",892,,,,,28,664,200
"De 30 a 34 años (045)",689,,,,,76,491,122
"De 35 a 39 años (046)",533,,,,5,140,312,76
"De 40 a 44 años (047)",312,,,,16,137,110,49
"De 45 a 49 años (048)",221,,,1,27,105,36,52
"De 50 y más años (049)",253,1,3,23,66,93,5,62
"Sup. no Univ. incompleta (050)",245,,,,11,45,113,76
"De 15 a 19 años (052)",8,,,,,,3,5
"De 20 a 24 años (053)",58,,,,,,32,26
