"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia LAURICOCHA (000)",35323,18294,17029,7938,3936,4002,27385,14358,13027
"Menores de 1 año (001)",758,378,380,181,91,90,577,287,290
"Menores de 1 mes (002)",99,51,48,25,14,11,74,37,37
"De 1 a 11 meses (003)",659,327,332,156,77,79,503,250,253
"De 1 a 4 años (004)",3394,1744,1650,663,345,318,2731,1399,1332
"1 año (005)",745,368,377,152,72,80,593,296,297
"2 años (006)",872,445,427,153,76,77,719,369,350
"3 años (007)",853,452,401,188,101,87,665,351,314
"4 años (008)",924,479,445,170,96,74,754,383,371
"De 5 a 9 años (009)",4830,2470,2360,989,487,502,3841,1983,1858
"5 años (010)",850,437,413,167,86,81,683,351,332
"6 años (011)",869,430,439,169,73,96,700,357,343
"7 años (012)",1050,555,495,215,114,101,835,441,394
"8 años (013)",1010,516,494,190,93,97,820,423,397
"9 años (014)",1051,532,519,248,121,127,803,411,392
"De 10 a 14 años (015)",5302,2811,2491,1167,622,545,4135,2189,1946
"10 años (016)",1166,608,558,243,118,125,923,490,433
"11 años (017)",993,521,472,222,114,108,771,407,364
"12 años (018)",1174,625,549,235,133,102,939,492,447
"13 años (019)",1003,528,475,248,140,108,755,388,367
"14 años (020)",966,529,437,219,117,102,747,412,335
"De 15 a 19 años (021)",3419,1815,1604,867,468,399,2552,1347,1205
"15 años (022)",931,488,443,224,126,98,707,362,345
"16 años (023)",761,410,351,194,106,88,567,304,263
"17 años (024)",627,340,287,165,87,78,462,253,209
"18 años (025)",642,334,308,162,91,71,480,243,237
"19 años (026)",458,243,215,122,58,64,336,185,151
"De 20 a 24 años (027)",2555,1336,1219,552,273,279,2003,1063,940
"20 años (028)",658,329,329,141,69,72,517,260,257
"21 años (029)",381,202,179,90,49,41,291,153,138
"22 años (030)",529,284,245,103,52,51,426,232,194
"23 años (031)",476,259,217,111,54,57,365,205,160
"24 años (032)",511,262,249,107,49,58,404,213,191
"De 25 a 29 años (033)",2407,1253,1154,512,229,283,1895,1024,871
"25 años (034)",525,286,239,117,62,55,408,224,184
"26 años (035)",463,223,240,102,38,64,361,185,176
"27 años (036)",495,259,236,98,37,61,397,222,175
"28 años (037)",527,266,261,101,47,54,426,219,207
"29 años (038)",397,219,178,94,45,49,303,174,129
"De 30 a 34 años (039)",2233,1178,1055,494,236,258,1739,942,797
"30 años (040)",700,374,326,149,74,75,551,300,251
"31 años (041)",311,186,125,64,30,34,247,156,91
"32 años (042)",414,221,193,93,50,43,321,171,150
"33 años (043)",447,226,221,98,42,56,349,184,165
"34 años (044)",361,171,190,90,40,50,271,131,140
"De 35 a 39 años (045)",2077,1101,976,478,224,254,1599,877,722
