"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia OTUZCO (000)",82690,4118,10054,11583,8470,13261,11462,16959,6783
"Sin nivel (001)",17045,4118,2280,296,363,905,1737,4312,3034
"Educación inicial (002)",1877,,1722,56,22,45,32,,
"Primaria (003)",47945,,6052,9045,4230,7925,6921,10354,3418
"Secundaria (004)",11298,,,2186,3437,2689,1533,1310,143
"Superior no univ. incompleto (005)",1292,,,,352,607,181,139,13
"Superior no univ. completo (006)",1972,,,,,776,695,412,89
"Superior univ. incompleto (007)",381,,,,66,123,82,85,25
"Superior univ. completo (008)",880,,,,,191,281,347,61
"Hombres (010)",41646,2049,5036,6002,4374,6675,5744,8495,3271
"Sin nivel (011)",6214,2049,1130,116,148,252,552,1143,824
"Educación inicial (012)",901,,841,28,12,16,4,,
"Primaria (013)",25264,,3065,4636,2009,3895,3563,5894,2202
"Secundaria (014)",6866,,,1222,2016,1692,982,850,104
"Superior no univ. incompleto (015)",704,,,,158,335,101,100,10
"Superior no univ. completo (016)",1002,,,,,341,356,238,67
"Superior univ. incompleto (017)",227,,,,31,57,52,65,22
"Superior univ. completo (018)",468,,,,,87,134,205,42
"Mujeres (020)",41044,2069,5018,5581,4096,6586,5718,8464,3512
"Sin nivel (021)",10831,2069,1150,180,215,653,1185,3169,2210
"Educación inicial (022)",976,,881,28,10,29,28,,
"Primaria (023)",22681,,2987,4409,2221,4030,3358,4460,1216
"Secundaria (024)",4432,,,964,1421,997,551,460,39
"Superior no univ. incompleto (025)",588,,,,194,272,80,39,3
"Superior no univ. completo (026)",970,,,,,435,339,174,22
"Superior univ. incompleto (027)",154,,,,35,66,30,20,3
"Superior univ. completo (028)",412,,,,,104,147,142,19
,,,,,,,,,
"URBANA (030)",20025,799,2031,2596,1982,3115,2975,4629,1898
"Sin nivel (031)",2801,799,260,39,52,111,248,699,593
"Educación inicial (032)",492,,453,13,9,11,6,,
"Primaria (033)",8765,,1318,1630,405,806,1072,2472,1062
"Secundaria (034)",4347,,,914,1198,859,618,672,86
"Superior no univ. incompleto (035)",965,,,,270,455,129,101,10
