"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TRUJILLO (000)",329463,3468,116734,118161,79436,11664
"Agric., ganadería, caza y silvicultura (001)",15567,256,5277,4875,3906,1253
"Pesca (002)",699,3,188,267,211,30
"Explotación de minas y canteras (003)",1831,11,592,799,395,34
"Industrias manufactureras (004)",44409,620,18570,15417,8643,1159
"Suministro de electricidad, gas y agua (005)",896,2,245,354,278,17
"Construcción (006)",23928,165,8277,8565,6028,893
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",80193,1157,25564,28090,21482,3900
"Venta, mant.y rep. veh.autom.y motoc. (008)",8714,78,3605,2740,1996,295
"Comercio al por mayor (009)",4732,24,1830,1788,974,116
"Comercio al por menor (010)",66747,1055,20129,23562,18512,3489
"Hoteles y restaurantes (011)",18998,352,6722,6119,5103,702
"Trans., almac. y comunicaciones (012)",34140,250,12072,13067,7810,941
"Intermediación financiera (013)",3163,,1336,1380,418,29
"Activid.inmobil., empres. y alquileres (014)",21500,30,7894,8841,4306,429
"Admin.pub. y defensa; p. segur.soc afil (015)",9339,,2419,3778,2974,168
"Enseñanza (016)",21877,9,4913,9836,6616,503
"Servicios sociales y de salud (017)",8570,2,2092,3433,2805,238
"Otras activ. serv.comun.soc y personales (018)",11765,119,4032,4223,2884,507
"Hogares privados con servicio doméstico (019)",12933,303,7084,3290,2028,228
"Organiz. y organos extraterritoriales (020)",3,,1,,2,
"Actividad economica no especificada (021)",6418,29,2392,2235,1477,285
"Desocupado (022)",13234,160,7064,3592,2070,348
"Hombres (023)",205624,2343,71531,72410,50897,8443
"Agric., ganadería, caza y silvicultura (024)",13165,218,4483,4007,3326,1131
"Pesca (025)",659,2,175,248,204,30
"Explotación de minas y canteras (026)",1684,6,521,756,369,32
"Industrias manufactureras (027)",33248,527,14229,11023,6520,949
"Suministro de electricidad, gas y agua (028)",783,2,199,312,255,15
"Construcción (029)",23035,159,7913,8193,5891,879
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",43229,775,14090,14624,11484,2256
"Venta, mant.y rep. veh.autom.y motoc. (031)",8007,74,3228,2515,1904,286
"Comercio al por mayor (032)",2877,18,1074,1080,633,72
"Comercio al por menor (033)",32345,683,9788,11029,8947,1898
"Hoteles y restaurantes (034)",6113,146,2648,1683,1395,241
"Trans., almac. y comunicaciones (035)",31115,243,10435,12057,7454,926
