"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",12313,179,3575,4262,3173,1124
"Agric., ganadería, caza y silvicultura (001)",7462,145,1936,2319,2105,957
"Pesca (002)",3,,,2,1,
"Explotación de minas y canteras (003)",169,,59,81,27,2
"Industrias manufactureras (004)",201,1,81,55,49,15
"Suministro de electricidad, gas y agua (005)",11,,2,4,5,
"Construcción (006)",305,1,117,114,69,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1115,14,385,426,256,34
"Venta, mant.y rep. veh.autom.y motoc. (008)",70,,48,15,5,2
"Comercio al por mayor (009)",22,,5,11,6,
"Comercio al por menor (010)",1023,14,332,400,245,32
"Hoteles y restaurantes (011)",258,4,96,92,54,12
"Trans., almac. y comunicaciones (012)",279,2,108,121,45,3
"Intermediación financiera (013)",3,,2,1,,
"Activid.inmobil., empres. y alquileres (014)",180,1,80,59,37,3
"Admin.pub. y defensa; p. segur.soc.afil (015)",220,,95,75,47,3
"Enseñanza (016)",943,,149,542,245,7
"Servicios sociales y de salud (017)",142,,71,56,15,
"Otras activ. serv.comun.soc y personales (018)",99,,38,30,29,2
"Hogares privados con servicio doméstico (019)",170,6,89,44,20,11
"Actividad economica no especificada (021)",753,5,267,241,169,71
"Hombres (022)",9096,103,2489,3175,2427,902
"Agric., ganadería, caza y silvicultura (023)",6167,85,1560,1969,1742,811
"Pesca (024)",3,,,2,1,
"Explotación de minas y canteras (025)",167,,58,81,26,2
"Industrias manufactureras (026)",148,1,55,44,36,12
"Suministro de electricidad, gas y agua (027)",11,,2,4,5,
"Construcción (028)",299,1,112,113,69,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",577,6,204,221,128,18
"Venta, mant.y rep. veh.autom.y motoc. (030)",66,,45,14,5,2
"Comercio al por mayor (031)",14,,2,7,5,
"Comercio al por menor (032)",497,6,157,200,118,16
"Hoteles y restaurantes (033)",79,1,26,33,15,4
"Trans., almac. y comunicaciones (034)",269,2,103,117,44,3
"Intermediación financiera (035)",1,,,1,,
"Activid.inmobil., empres. y alquileres (036)",136,1,54,46,32,3
"Admin.pub. y defensa; p. segur.soc.afil (037)",158,,56,56,44,2
"Enseñanza (038)",565,,68,316,174,7
"Servicios sociales y de salud (039)",62,,28,24,10,
"Otras activ. serv.comun.soc y personales (040)",59,,23,19,15,2
