"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ASUNCION (000)",7890,2057,2021,1565,1343,904
"Sin nivel (001)",1895,40,69,351,754,681
"Educación inicial (002)",178,167,7,4,,
"Primaria (003)",2934,1507,365,496,391,175
"Secundaria (004)",2072,343,1305,315,81,28
"Superior no univ. incompleta (005)",154,,86,46,20,2
"Superior no univ. completa (006)",392,,101,216,62,13
"Superior univ. incompleta (007)",98,,51,35,11,1
"Superior univ. completa (008)",167,,37,102,24,4
"PEA (010)",2370,24,685,879,568,214
"Sin nivel (011)",463,2,23,114,204,120
"Educación inicial (012)",6,1,2,3,,
"Primaria (013)",660,11,127,229,220,73
"Secundaria (014)",622,10,362,183,53,14
"Superior no univ. incompleta (015)",94,,50,35,8,1
"Superior no univ. completa (016)",323,,73,191,54,5
"Superior univ. incompleta (017)",65,,21,32,11,1
"Superior univ. completa (018)",137,,27,92,18,
"Ocupada (020)",2278,24,646,846,555,207
"Sin nivel (021)",446,2,22,107,199,116
"Educación inicial (022)",6,1,2,3,,
"Primaria (023)",632,11,121,215,214,71
"Secundaria (024)",590,10,337,178,52,13
"Superior no univ. incompleta (025)",93,,50,34,8,1
"Superior no univ. completa (026)",318,,72,187,54,5
"Superior univ. incompleta (027)",61,,18,32,10,1
"Superior univ. completa (028)",132,,24,90,18,
"Desocupada (030)",92,,39,33,13,7
"Sin nivel (031)",17,,1,7,5,4
"Primaria (033)",28,,6,14,6,2
"Secundaria (034)",32,,25,5,1,1
