"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia LA CONVENCION (000)",79092,42804,332,792,31836,1096,221,170,375,1466
"Hombres (001)",28570,21943,213,397,3991,556,150,88,375,857
"Mujeres (002)",50522,20861,119,395,27845,540,71,82,,609
"De 06 a 14 años (003)",34750,32632,,,853,639,3,38,,585
"Hombres (004)",17592,16612,,,355,320,2,17,,286
"Mujeres (005)",17158,16020,,,498,319,1,21,,299
"De 15 a 29 años (006)",21946,9876,18,191,10998,,121,33,370,339
"Hombres (007)",7394,5217,12,93,1400,,77,19,370,206
"Mujeres (008)",14552,4659,6,98,9598,,44,14,,133
"De 30 a 44 años (009)",10492,234,23,214,9766,,58,18,5,174
"Hombres (010)",1290,90,14,106,900,,45,10,5,120
"Mujeres (011)",9202,144,9,108,8866,,13,8,,54
"De 45 a 64 años (012)",7685,49,130,209,7064,12,33,27,,161
"Hombres (013)",1094,15,74,110,741,5,20,16,,113
"Mujeres (014)",6591,34,56,99,6323,7,13,11,,48
"De 65 y más años (015)",4219,13,161,178,3155,445,6,54,,207
"Hombres (016)",1200,9,113,88,595,231,6,26,,132
"Mujeres (017)",3019,4,48,90,2560,214,,28,,75
,,,,,,,,,,
"AREA URBANA (018)",23484,14251,267,458,7667,165,77,23,233,343
"Hombres (019)",9337,7017,169,238,1336,84,51,11,233,198
"Mujeres (020)",14147,7234,98,220,6331,81,26,12,,145
"De 06 a 14 años (021)",10289,9878,,,273,55,2,4,,77
"Hombres (022)",5126,4923,,,123,29,2,3,,46
"Mujeres (023)",5163,4955,,,150,26,,1,,31
"De 15 a 29 años (024)",7406,4233,7,101,2677,,45,4,231,108
"Hombres (025)",2867,2037,5,48,456,,30,1,231,59
"Mujeres (026)",4539,2196,2,53,2221,,15,3,,49
"De 30 a 44 años (027)",2767,123,17,117,2430,,20,2,2,56
"Hombres (028)",483,50,10,68,303,,14,1,2,35
"Mujeres (029)",2284,73,7,49,2127,,6,1,,21
"De 45 a 64 años (030)",1871,16,112,138,1536,5,10,4,,50
"Hombres (031)",419,6,62,72,241,1,5,3,,29
"Mujeres (032)",1452,10,50,66,1295,4,5,1,,21
"De 65 y más años (033)",1151,1,131,102,751,105,,9,,52
"Hombres (034)",442,1,92,50,213,54,,3,,29
"Mujeres (035)",709,,39,52,538,51,,6,,23
,,,,,,,,,,
"AREA RURAL (036)",55608,28553,65,334,24169,931,144,147,142,1123
"Hombres (037)",19233,14926,44,159,2655,472,99,77,142,659
"Mujeres (038)",36375,13627,21,175,21514,459,45,70,,464
"De 06 a 14 años (039)",24461,22754,,,580,584,1,34,,508
"Hombres (040)",12466,11689,,,232,291,,14,,240
"Mujeres (041)",11995,11065,,,348,293,1,20,,268
"De 15 a 29 años (042)",14540,5643,11,90,8321,,76,29,139,231
"Hombres (043)",4527,3180,7,45,944,,47,18,139,147
"Mujeres (044)",10013,2463,4,45,7377,,29,11,,84
"De 30 a 44 años (045)",7725,111,6,97,7336,,38,16,3,118
"Hombres (046)",807,40,4,38,597,,31,9,3,85
"Mujeres (047)",6918,71,2,59,6739,,7,7,,33
"De 45 a 64 años (048)",5814,33,18,71,5528,7,23,23,,111
"Hombres (049)",675,9,12,38,500,4,15,13,,84
"Mujeres (050)",5139,24,6,33,5028,3,8,10,,27
"De 65 y más años (051)",3068,12,30,76,2404,340,6,45,,155
"Hombres (052)",758,8,21,38,382,177,6,23,,103
"Mujeres (053)",2310,4,9,38,2022,163,,22,,52
