"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TAHUAMANU (000)",2312,2215,10,526,498,364,461,218,90,48,97,7342
"De 12 a 14 años (001)",6,3,,2,1,,,,,,3,4
"De 15 a 19 años (002)",112,97,2,82,13,,,,,,15,108
"De 20 a 24 años (003)",349,317,3,193,91,26,3,1,,,32,472
"De 25 a 29 años (004)",373,348,1,134,130,64,19,,,,25,666
"De 30 a 34 años (005)",329,322,1,59,107,74,71,9,1,,7,867
"De 35 a 39 años (006)",310,303,1,26,73,76,104,19,3,1,7,1016
"De 40 a 44 años (007)",241,239,1,11,36,48,98,33,10,2,2,974
"De 45 a 49 años (008)",168,164,1,5,15,28,63,36,11,5,4,786
"De 50 y más años (009)",424,422,,14,32,48,103,120,65,40,2,2449
"Sin nivel (010)",242,240,,7,20,32,65,63,35,18,2,1327
"De 20 a 24 años (013)",3,3,,,1,2,,,,,,8
"De 25 a 29 años (014)",7,6,,,4,1,1,,,,1,15
"De 30 a 34 años (015)",23,23,,1,1,12,7,2,,,,84
"De 35 a 39 años (016)",25,25,,1,2,1,13,6,1,1,,125
"De 40 a 44 años (017)",25,25,,1,6,6,5,5,2,,,102
"De 45 a 49 años (018)",17,17,,1,,2,6,4,3,1,,95
"De 50 y más años (019)",142,141,,3,6,8,33,46,29,16,1,898
"Educacion Inicial (020)",2,2,,1,,,,1,,,,7
"De 20 a 24 años (023)",1,1,,1,,,,,,,,1
"De 30 a 34 años (025)",1,1,,,,,,1,,,,6
"Primaria (030)",596,588,2,68,98,86,180,93,38,23,8,2508
"De 12 a 14 años (031)",3,2,,2,,,,,,,1,2
"De 15 a 19 años (032)",16,16,,12,4,,,,,,,20
