"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",6115,82,2059,2161,1525,288
"Agric., ganadería, caza y silvicultura (001)",658,4,151,199,195,109
"Pesca (002)",1510,24,643,499,312,32
"Explotación de minas y canteras (003)",14,,3,5,4,2
"Industrias manufactureras (004)",278,8,104,84,65,17
"Suministro de electricidad, gas y agua (005)",36,,10,13,12,1
"Construcción (006)",434,,149,180,96,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",743,21,184,284,209,45
"Venta, mant.y rep. veh.autom.y motoc. (008)",79,2,28,32,16,1
"Comercio al por mayor (009)",35,,11,13,9,2
"Comercio al por menor (010)",629,19,145,239,184,42
"Hoteles y restaurantes (011)",388,9,143,115,109,12
"Trans., almac. y comunicaciones (012)",533,4,218,170,134,7
"Intermediación financiera (013)",11,,4,6,1,
"Activid.inmobil., empres. y alquileres (014)",233,,77,84,65,7
"Admin.pub. y defensa; p. segur.soc.afil (015)",368,,125,139,92,12
"Enseñanza (016)",318,,35,180,102,1
"Servicios sociales y de salud (017)",60,,19,23,17,1
"Otras activ. serv.comun.soc y personales (018)",260,7,92,92,53,16
"Hogares privados con servicio doméstico (019)",115,5,48,39,18,5
"Actividad economica no especificada (021)",156,,54,49,41,12
"Hombres (022)",4648,61,1590,1566,1191,240
"Agric., ganadería, caza y silvicultura (023)",610,2,142,187,176,103
"Pesca (024)",1489,24,630,496,308,31
"Explotación de minas y canteras (025)",14,,3,5,4,2
"Industrias manufactureras (026)",191,6,70,55,45,15
"Suministro de electricidad, gas y agua (027)",35,,9,13,12,1
"Construcción (028)",422,,141,177,95,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",434,15,120,138,131,30
"Venta, mant.y rep. veh.autom.y motoc. (030)",73,2,26,29,15,1
"Comercio al por mayor (031)",25,,8,10,5,2
"Comercio al por menor (032)",336,13,86,99,111,27
"Hoteles y restaurantes (033)",143,5,55,36,41,6
"Trans., almac. y comunicaciones (034)",508,4,205,161,131,7
"Intermediación financiera (035)",5,,3,1,1,
"Activid.inmobil., empres. y alquileres (036)",166,,51,58,50,7
"Admin.pub. y defensa; p. segur.soc.afil (037)",209,,52,82,68,7
"Enseñanza (038)",134,,10,69,54,1
"Servicios sociales y de salud (039)",27,,8,6,12,1
"Otras activ. serv.comun.soc y personales (040)",171,5,57,58,38,13
