"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CONCEPCION (000)",60121,59407,432,282
"Hombres (001)",29280,28997,140,143
"Mujeres (002)",30841,30410,292,139
"Menores de 1 año (003)",1059,942,71,46
"Hombres (004)",544,484,37,23
"Mujeres (005)",515,458,34,23
"De 1 a 5 años (006)",6516,6222,87,207
"Hombres (007)",3325,3170,44,111
"Mujeres (008)",3191,3052,43,96
"De 6 a 14 años (009)",13071,13064,3,4
"Hombres (010)",6599,6596,2,1
"Mujeres (011)",6472,6468,1,3
"De 15 a 29 años (012)",14847,14840,7,
"Hombres (013)",7420,7418,2,
"Mujeres (014)",7427,7422,5,
"De 30 a 44 años (015)",10733,10704,24,5
"Hombres (016)",5028,5018,8,2
"Mujeres (017)",5705,5686,16,3
"De 45 a 64 años (018)",8756,8703,47,6
"Hombres (019)",3998,3984,12,2
"Mujeres (020)",4758,4719,35,4
"De 65 a más años (021)",5139,4932,193,14
"Hombres (022)",2366,2327,35,4
"Mujeres (023)",2773,2605,158,10
,,,,
"URBANA (024)",30619,30240,226,153
"Hombres (025)",14620,14462,78,80
"Mujeres (026)",15999,15778,148,73
"Menores de 1 año (027)",463,402,41,20
"Hombres (028)",225,198,17,10
"Mujeres (029)",238,204,24,10
"De 1 a 5 años (030)",2859,2680,62,117
"Hombres (031)",1459,1359,36,64
"Mujeres (032)",1400,1321,26,53
"De 6 a 14 años (033)",6009,6006,1,2
"Hombres (034)",3090,3089,,1
"Mujeres (035)",2919,2917,1,1
"De 15 a 29 años (036)",7947,7945,2,
"Hombres (037)",3873,3872,1,
"Mujeres (038)",4074,4073,1,
"De 30 a 44 años (039)",5768,5752,14,2
"Hombres (040)",2562,2557,4,1
"Mujeres (041)",3206,3195,10,1
"De 45 a 64 años (042)",4766,4741,21,4
"Hombres (043)",2138,2130,6,2
"Mujeres (044)",2628,2611,15,2
"De 65 a más años (045)",2807,2714,85,8
"Hombres (046)",1273,1257,14,2
"Mujeres (047)",1534,1457,71,6
,,,,
"RURAL (048)",29502,29167,206,129
"Hombres (049)",14660,14535,62,63
"Mujeres (050)",14842,14632,144,66
"Menores de 1 año (051)",596,540,30,26
"Hombres (052)",319,286,20,13
"Mujeres (053)",277,254,10,13
"De 1 a 5 años (054)",3657,3542,25,90
"Hombres (055)",1866,1811,8,47
"Mujeres (056)",1791,1731,17,43
"De 6 a 14 años (057)",7062,7058,2,2
"Hombres (058)",3509,3507,2,
"Mujeres (059)",3553,3551,,2
"De 15 a 29 años (060)",6900,6895,5,
"Hombres (061)",3547,3546,1,
"Mujeres (062)",3353,3349,4,
"De 30 a 44 años (063)",4965,4952,10,3
"Hombres (064)",2466,2461,4,1
"Mujeres (065)",2499,2491,6,2
"De 45 a 64 años (066)",3990,3962,26,2
"Hombres (067)",1860,1854,6,
"Mujeres (068)",2130,2108,20,2
"De 65 a más años (069)",2332,2218,108,6
"Hombres (070)",1093,1070,21,2
"Mujeres (071)",1239,1148,87,4
