"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia AMBO (000)",16833,387,5495,5437,4142,1372
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",36,,5,13,17,1
"Profes., científicos e intelectuales (002)",532,,125,240,161,6
"Técnicos de nivel medio y trab.asimilados (003)",200,,62,71,54,13
"Jefes y empleados de oficina (004)",156,,56,70,29,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1072,5,276,425,302,64
"Agricult.trabaj. calif. agrop. y pesqueros (006)",7205,,1451,2536,2220,998
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",489,7,205,149,101,27
"Obreros construc., conf., papel, fab., instr. (008)",830,,251,332,228,19
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",5044,334,2487,1248,795,180
"Otra (010)",29,,11,10,8,
"Ocupación no especificada (011)",285,,93,81,80,31
"Desocupado (012)",955,41,473,262,147,32
"Hombres (013)",13680,273,4350,4398,3443,1216
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",25,,3,7,14,1
"Profes., científicos e intelectuales (015)",305,,60,126,113,6
"Técnicos de nivel medio y trab.asimilados (016)",129,,34,46,40,9
"Jefes y empleados de oficina (017)",72,,17,40,14,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",437,1,107,165,132,32
"Agricult.trabaj. calif. agrop. y pesqueros (019)",6901,,1380,2445,2127,949
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",423,7,182,122,91,21
"Obreros construc., conf., papel, fab., instr. (021)",821,,245,331,227,18
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",3717,243,1958,859,521,136
"Otra (023)",28,,10,10,8,
"Ocupación no especificada (024)",83,,24,27,20,12
"Desocupado (025)",739,22,330,220,136,31
"Mujeres (026)",3153,114,1145,1039,699,156
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",11,,2,6,3,
"Profes., científicos e intelectuales (028)",227,,65,114,48,
"Técnicos de nivel medio y trab.asimilados (029)",71,,28,25,14,4
"Jefes y empleados de oficina (030)",84,,39,30,15,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",635,4,169,260,170,32
"Agricult.trabaj. calif. agrop. y pesqueros (032)",304,,71,91,93,49
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",66,,23,27,10,6
"Obreros construc., conf., papel, fab., instr. (034)",9,,6,1,1,1
