"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUARMEY (000)",10201,25948,24156,,412,93.1,1.6
"De 12 a 14 años (001)",926,5,5,,1,100,20
"De 15 a 19 años (002)",1226,178,177,50,99.4,28.1,
"De 20 a 24 años (003)",1150,963,952,134,98.9,13.9,
"De 25 a 29 años (004)",1039,1577,1549,81,98.2,5.1,
"De 30 a 34 años (005)",1076,2313,2264,74,97.9,3.2,
"De 35 a 39 años (006)",1027,2771,2693,57,97.2,2.1,
"De 40 a 44 años (007)",755,2493,2421,13,97.1,0.5,
"De 45 a 49 años (008)",620,2438,2315,2,95,0.1,
"De 50 y más años (009)",2382,13210,11780,,89.2,,
"PEA (010)",3077,7588,7139,78,94.1,1,
"De 12 a 14 años (011)",26,1,1,,100,,
"De 15 a 19 años (012)",187,29,29,3,100,10.3,
"De 20 a 24 años (013)",372,233,233,18,100,7.7,
"De 25 a 29 años (014)",387,492,480,13,97.6,2.6,
"De 30 a 34 años (015)",443,825,802,22,97.2,2.7,
"De 35 a 39 años (016)",435,1046,1023,13,97.8,1.2,
"De 40 a 44 años (017)",375,1133,1100,9,97.1,0.8,
"De 45 a 49 años (018)",249,871,813,,93.3,,
"De 50 y más años (019)",603,2958,2658,,89.9,,
"Ocupada (020)",2926,7367,6932,73,94.1,1,
"De 12 a 14 años (021)",24,1,1,,100,,
"De 15 a 19 años (022)",161,26,26,3,100,11.5,
"De 20 a 24 años (023)",336,217,217,15,100,6.9,
"De 25 a 29 años (024)",362,462,450,13,97.4,2.8,
"De 30 a 34 años (025)",424,792,773,20,97.6,2.5,
"De 35 a 39 años (026)",421,1009,987,13,97.8,1.3,
"De 40 a 44 años (027)",364,1096,1065,9,97.2,0.8,
"De 45 a 49 años (028)",238,841,784,,93.2,,
"De 50 y más años (029)",596,2923,2629,,89.9,,
"Desocupada (030)",151,221,207,5,93.7,2.3,
"De 12 a 14 años (031)",2,,,,,,
"De 15 a 19 años (032)",26,3,3,,100,,
"De 20 a 24 años (033)",36,16,16,3,100,18.8,
"De 25 a 29 años (034)",25,30,30,,100,,
"De 30 a 34 años (035)",19,33,29,2,87.9,6.1,
"De 35 a 39 años (036)",14,37,36,,97.3,,
"De 40 a 44 años (037)",11,37,35,,94.6,,
