"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia BELLAVISTA (000)",19097,16112,1405,1061,519
"Sin nivel (001)",901,836,40,18,7
"Educación inicial (002)",29,25,,4,
"Primaria (003)",10257,9201,668,331,57
"Secundaria (004)",5838,4929,434,327,148
"Superior no univ. incompleta (005)",552,411,49,46,46
"Superior no univ. completa (006)",868,379,131,198,160
"Superior univ. incompleta (007)",206,132,26,25,23
"Superior univ. completa (008)",446,199,57,112,78
"De 06 a 14 años (010)",741,628,53,57,3
"Sin nivel (011)",33,31,1,1,
"Educación inicial (012)",10,8,,2,
"Primaria (013)",556,465,47,42,2
"Secundaria (014)",142,124,5,12,1
"De 15 a 29 años (020)",6843,5741,546,403,153
"Sin nivel (021)",138,121,5,8,4
"Educación inicial (022)",15,14,,1,
"Primaria (023)",3115,2764,203,130,18
"Secundaria (024)",2860,2386,241,189,44
"Superior no univ. incompleta (025)",253,204,24,15,10
"Superior no univ. completa (026)",301,163,47,37,54
"Superior univ. incompleta (027)",61,40,11,3,7
"Superior univ. completa (028)",100,49,15,20,16
"De 30 a 44 años (030)",6745,5549,516,426,254
"Sin nivel (031)",223,204,13,4,2
"Educación inicial (032)",4,3,,1,
"Primaria (033)",3510,3152,233,95,30
"Secundaria (034)",1991,1705,137,91,58
"Superior no univ. incompleta (035)",217,149,23,20,25
"Superior no univ. completa (036)",455,173,69,125,88
"Superior univ. incompleta (037)",98,59,12,19,8
"Superior univ. completa (038)",247,104,29,71,43
"De 45 a 64 años (040)",3912,3391,251,164,106
"Sin nivel (041)",330,305,19,5,1
"Primaria (043)",2460,2247,150,56,7
"Secundaria (044)",799,673,50,34,42
"Superior no univ. incompleta (045)",75,51,2,11,11
"Superior no univ. completa (046)",109,40,15,36,18
"Superior univ. incompleta (047)",46,32,3,3,8
"Superior univ. completa (048)",93,43,12,19,19
"De 65 y más años (050)",856,803,39,11,3
"Sin nivel (051)",177,175,2,,
"Primaria (053)",616,573,35,8,
"Secundaria (054)",46,41,1,1,3
"Superior no univ. incompleta (055)",7,7,,,
"Superior no univ. completa (056)",3,3,,,
"Superior univ. incompleta (057)",1,1,,,
"Superior univ. completa (058)",6,3,1,2,
,,,,,
"URBANA (060)",10841,8543,979,851,468
