"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
"De 30 a 34 años (025)",181,168,1,59,52,33,17,6,,,13,374
"De 35 a 39 años (026)",198,190,,32,44,48,57,8,1,,8,570
"De 40 a 44 años (027)",169,166,1,13,32,37,53,21,8,1,3,620
"De 45 a 49 años (028)",118,116,,9,14,22,36,23,8,4,2,525
"De 50 y más años (029)",334,328,2,30,38,44,83,65,48,18,6,1619
"Desocupada (030)",51,47,1,22,6,4,7,5,2,,4,126
"De 15 a 19 años (032)",6,6,,6,,,,,,,,6
"De 20 a 24 años (033)",13,10,,8,1,,,1,,,3,16
"De 25 a 29 años (034)",9,8,,4,2,1,1,,,,1,15
"De 30 a 34 años (035)",8,8,,4,2,1,1,,,,,16
"De 35 a 39 años (036)",4,4,,,,,2,1,1,,,23
"De 40 a 44 años (037)",3,3,,,,1,1,1,,,,15
"De 45 a 49 años (038)",2,2,,,,1,1,,,,,7
"De 50 y más años (039)",6,6,1,,1,,1,2,1,,,28
"No PEA (040)",6045,5907,31,899,838,812,1460,1111,577,179,138,25425
"De 12 a 14 años (041)",11,5,,5,,,,,,,6,5
"De 15 a 19 años (042)",200,190,2,160,23,4,1,,,,10,222
"De 20 a 24 años (043)",600,566,9,302,190,48,16,1,,,34,898
"De 25 a 29 años (044)",602,583,1,139,192,143,100,8,,,19,1432
"De 30 a 34 años (045)",587,572,1,60,118,135,196,54,8,,15,1960
"De 35 a 39 años (046)",589,579,,41,64,122,217,105,26,4,10,2420
"De 40 a 44 años (047)",546,543,1,25,40,78,171,163,49,16,3,2737
"De 45 a 49 años (048)",470,466,,22,30,58,128,126,82,20,4,2540
"De 50 y más años (049)",2440,2403,17,145,181,224,631,654,412,139,37,13211
,,,,,,,,,,,,
"URBANA (060)",3992,3877,27,659,615,600,944,616,318,98,115,15550
"De 12 a 14 años (061)",7,3,,3,,,,,,,4,3
"De 15 a 19 años (062)",100,93,3,83,5,1,1,,,,7,100
"De 20 a 24 años (063)",343,308,8,181,97,17,5,,,,35,446
"De 25 a 29 años (064)",376,352,4,120,119,74,34,1,,,24,736
"De 30 a 34 años (065)",405,395,1,73,107,97,97,19,1,,10,1123
"De 35 a 39 años (066)",432,425,,45,67,117,148,41,6,1,7,1495
"De 40 a 44 años (067)",402,399,2,23,52,80,137,76,24,5,3,1710
"De 45 a 49 años (068)",324,321,,16,24,55,100,75,42,9,3,1613
"De 50 y más años (069)",1603,1581,9,115,144,159,422,404,245,83,22,8324
"PEA (070)",917,872,12,210,176,156,181,81,44,12,45,2833
"De 15 a 19 años (072)",21,21,1,20,,,,,,,,20
"De 20 a 24 años (073)",81,63,3,44,14,1,1,,,,18,79
"De 25 a 29 años (074)",99,86,4,39,26,12,5,,,,13,148
"De 30 a 34 años (075)",126,122,1,42,40,24,13,2,,,4,263
"De 35 a 39 años (076)",144,140,,25,35,39,35,5,1,,4,403
"De 40 a 44 años (077)",139,136,1,11,25,31,48,17,3,,3,489
"De 45 a 49 años (078)",82,81,,8,8,18,25,14,6,2,1,355
"De 50 y más años (079)",225,223,2,21,28,31,54,43,34,10,2,1076
"Ocupada (080)",882,838,12,195,171,152,175,79,42,12,44,2739
"De 15 a 19 años (082)",18,18,1,17,,,,,,,,17
"De 20 a 24 años (083)",74,57,3,39,13,1,1,,,,17,72
"De 25 a 29 años (084)",91,78,4,35,24,11,4,,,,13,133
"De 30 a 34 años (085)",119,115,1,39,38,23,12,2,,,4,248
"De 35 a 39 años (086)",141,137,,25,35,39,33,5,,,4,386
"De 40 a 44 años (087)",136,133,1,11,25,30,47,16,3,,3,474
"De 45 a 49 años (088)",81,80,,8,8,17,25,14,6,2,1,352
"De 50 y más años (089)",222,220,2,21,28,31,53,42,33,10,2,1057
"Desocupada (090)",35,34,,15,5,4,6,2,2,,1,94
"De 15 a 19 años (092)",3,3,,3,,,,,,,,3
"De 20 a 24 años (093)",7,6,,5,1,,,,,,1,7
"De 25 a 29 años (094)",8,8,,4,2,1,1,,,,,15
"De 30 a 34 años (095)",7,7,,3,2,1,1,,,,,15
"De 35 a 39 años (096)",3,3,,,,,2,,1,,,17
"De 40 a 44 años (097)",3,3,,,,1,1,1,,,,15
"De 45 a 49 años (098)",1,1,,,,1,,,,,,3
"De 50 y más años (099)",3,3,,,,,1,1,1,,,19
"No PEA (100)",3075,3005,15,449,439,444,763,535,274,86,70,12717
"De 12 a 14 años (101)",7,3,,3,,,,,,,4,3
"De 15 a 19 años (102)",79,72,2,63,5,1,1,,,,7,80
"De 20 a 24 años (103)",262,245,5,137,83,16,4,,,,17,367
"De 25 a 29 años (104)",277,266,,81,93,62,29,1,,,11,588
"De 30 a 34 años (105)",279,273,,31,67,73,84,17,1,,6,860
"De 35 a 39 años (106)",288,285,,20,32,78,113,36,5,1,3,1092
"De 40 a 44 años (107)",263,263,1,12,27,49,89,59,21,5,,1221
"De 45 a 49 años (108)",242,240,,8,16,37,75,61,36,7,2,1258
"De 50 y más años (109)",1378,1358,7,94,116,128,368,361,211,73,20,7248
,,,,,,,,,,,,
"RURAL (120)",3387,3287,17,542,479,419,777,623,326,104,100,14078
"De 12 a 14 años (121)",4,2,,2,,,,,,,2,2
"De 15 a 19 años (122)",131,128,,107,18,3,,,,,3,152
"De 20 a 24 años (123)",386,361,4,189,122,32,12,2,,,25,591
"De 25 a 29 años (124)",377,363,1,76,117,88,74,7,,,14,933
"De 30 a 34 años (125)",371,353,1,50,65,72,117,41,7,,18,1227
"De 35 a 39 años (126)",359,348,,28,41,53,128,73,22,3,11,1518
"De 40 a 44 años (127)",316,313,,15,20,36,88,109,33,12,3,1662
"De 45 a 49 años (128)",266,263,,15,20,26,65,74,48,15,3,1459
"De 50 y más años (129)",1177,1156,11,60,76,109,293,317,216,74,21,6534
"PEA (130)",417,385,1,92,80,51,80,47,23,11,32,1370
"De 15 a 19 años (132)",10,10,,10,,,,,,,,10
"De 20 a 24 años (133)",48,40,,24,15,,,1,,,8,60
"De 25 a 29 años (134)",52,46,,18,18,7,3,,,,6,89
"De 30 a 34 años (135)",63,54,,21,14,10,5,4,,,9,127
"De 35 a 39 años (136)",58,54,,7,9,9,24,4,1,,4,190
"De 40 a 44 años (137)",33,33,,2,7,7,6,5,5,1,,146
"De 45 a 49 años (138)",38,37,,1,6,5,12,9,2,2,1,177
"De 50 y más años (139)",115,111,1,9,11,13,30,24,15,8,4,571
"Ocupada (140)",401,372,,85,79,51,79,44,23,11,29,1338
"De 15 a 19 años (142)",7,7,,7,,,,,,,,7
"De 20 a 24 años (143)",42,36,,21,15,,,,,,6,51
"De 25 a 29 años (144)",51,46,,18,18,7,3,,,,5,89
"De 30 a 34 años (145)",62,53,,20,14,10,5,4,,,9,126
"De 35 a 39 años (146)",57,53,,7,9,9,24,3,1,,4,184
"De 40 a 44 años (147)",33,33,,2,7,7,6,5,5,1,,146
"De 45 a 49 años (148)",37,36,,1,6,5,11,9,2,2,1,173
"De 50 y más años (149)",112,108,,9,10,13,30,23,15,8,4,562
"Desocupada (150)",16,13,1,7,1,,1,3,,,3,32
"De 15 a 19 años (152)",3,3,,3,,,,,,,,3
"De 20 a 24 años (153)",6,4,,3,,,,1,,,2,9
"De 25 a 29 años (154)",1,,,,,,,,,,1,
"De 30 a 34 años (155)",1,1,,1,,,,,,,,1
"De 35 a 39 años (156)",1,1,,,,,,1,,,,6
"De 45 a 49 años (158)",1,1,,,,,1,,,,,4
"De 50 y más años (159)",3,3,1,,1,,,1,,,,9
"No PEA (160)",2970,2902,16,450,399,368,697,576,303,93,68,12708
"De 12 a 14 años (161)",4,2,,2,,,,,,,2,2
"De 15 a 19 años (162)",121,118,,97,18,3,,,,,3,142
"De 20 a 24 años (163)",338,321,4,165,107,32,12,1,,,17,531
"De 25 a 29 años (164)",325,317,1,58,99,81,71,7,,,8,844
"De 30 a 34 años (165)",308,299,1,29,51,62,112,37,7,,9,1100
"De 35 a 39 años (166)",301,294,,21,32,44,104,69,21,3,7,1328
"De 40 a 44 años (167)",283,280,,13,13,29,82,104,28,11,3,1516
"De 45 a 49 años (168)",228,226,,14,14,21,53,65,46,13,2,1282
"De 50 y más años (169)",1062,1045,10,51,65,96,263,293,201,66,17,5963
