"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ILO (000)",26018,8996,6035,9196,535,615,641
"Agric., ganadería, caza y silvicultura (001)",298,15,99,115,6,63,
"Pesca (002)",2153,74,1152,824,85,18,
"Explotación de minas y canteras (003)",979,354,611,8,4,2,
"Industrias manufactureras (004)",1965,287,834,753,68,23,
"Suministro de electricidad, gas y agua (005)",199,115,83,1,,,
"Construcción (006)",2389,229,1505,614,32,9,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5549,1083,419,3559,148,340,
"Venta, mant.y rep. veh.autom y motoc. (008)",839,180,341,274,36,8,
"Comercio al por mayor (009)",292,135,19,110,12,16,
"Comercio al por menor (010)",4418,768,59,3175,100,316,
"Hoteles y restaurantes (011)",1643,544,90,884,56,69,
"Trans., almac. y comunicaciones (012)",2650,837,435,1320,34,24,
"Intermediación financiera (013)",235,227,1,5,2,,
"Activid.inmobil., empres. y alquileres (014)",1857,1293,217,296,44,7,
"Admin.pub. y defensa; p. segur soc.afil (015)",1337,1104,233,,,,
"Enseñanza (016)",1420,1294,4,119,3,,
"Servicios sociales y de salud (017)",618,539,10,58,6,5,
"Otras activ. serv.comun.soc y personales (018)",847,425,76,323,19,4,
"Hogares privados con servicio doméstico (019)",641,,,,,,641
"Actividad economica no especificada (021)",1238,576,266,317,28,51,
"Hombres (022)",16382,4890,5559,5324,356,221,32
"Agric., ganadería, caza y silvicultura (023)",195,12,66,80,5,32,
"Pesca (024)",2082,48,1126,808,84,16,
"Explotación de minas y canteras (025)",935,315,607,8,4,1,
"Industrias manufactureras (026)",1541,211,744,524,45,17,
"Suministro de electricidad, gas y agua (027)",177,94,82,1,,,
"Construcción (028)",2298,189,1463,607,31,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2415,482,411,1368,77,77,
"Venta, mant.y rep. veh.autom y motoc. (030)",787,148,336,261,35,7,
"Comercio al por mayor (031)",147,74,17,38,10,8,
"Comercio al por menor (032)",1481,260,58,1069,32,62,
"Hoteles y restaurantes (033)",378,171,35,131,16,25,
"Trans., almac. y comunicaciones (034)",2335,646,400,1247,24,18,
"Intermediación financiera (035)",105,100,1,3,1,,
"Activid.inmobil., empres. y alquileres (036)",1323,897,190,194,38,4,
"Admin.pub. y defensa; p. segur soc.afil (037)",919,752,167,,,,
"Enseñanza (038)",421,383,3,33,2,,
"Servicios sociales y de salud (039)",157,129,,26,1,1,
"Otras activ. serv.comun.soc y personales (040)",396,186,52,145,10,3,
"Hogares privados con servicio doméstico (041)",32,,,,,,32
"Actividad economica no especificada (043)",673,275,212,149,18,19,
"Mujeres (044)",9636,4106,476,3872,179,394,609
"Agric., ganadería, caza y silvicultura (045)",103,3,33,35,1,31,
"Pesca (046)",71,26,26,16,1,2,
"Explotación de minas y canteras (047)",44,39,4,,,1,
"Industrias manufactureras (048)",424,76,90,229,23,6,
"Suministro de electricidad, gas y agua (049)",22,21,1,,,,
"Construcción (050)",91,40,42,7,1,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",3134,601,8,2191,71,263,
"Venta, mant.y rep. veh.autom y motoc. (052)",52,32,5,13,1,1,
"Comercio al por mayor (053)",145,61,2,72,2,8,
"Comercio al por menor (054)",2937,508,1,2106,68,254,
"Hoteles y restaurantes (055)",1265,373,55,753,40,44,
"Trans., almac. y comunicaciones (056)",315,191,35,73,10,6,
"Intermediación financiera (057)",130,127,,2,1,,
"Activid.inmobil., empres. y alquileres (058)",534,396,27,102,6,3,
"Admin.pub. y defensa; p. segur soc.afil (059)",418,352,66,,,,
"Enseñanza (060)",999,911,1,86,1,,
"Servicios sociales y de salud (061)",461,410,10,32,5,4,
"Otras activ. serv.comun.soc y personales (062)",451,239,24,178,9,1,
"Hogares privados con servicio doméstico (063)",609,,,,,,609
"Actividad economica no especificada (065)",565,301,54,168,10,32,
,,,,,,,
"URBANA (066)",25683,8827,5955,9128,534,600,639
"Agric., ganadería, caza y silvicultura (067)",219,13,83,66,6,51,
"Pesca (068)",2140,71,1143,824,84,18,
"Explotación de minas y canteras (069)",974,353,609,7,4,1,
"Industrias manufactureras (070)",1952,287,822,752,68,23,
"Suministro de electricidad, gas y agua (071)",199,115,83,1,,,
"Construcción (072)",2359,228,1477,613,32,9,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",5531,1082,413,3550,148,338,
"Venta, mant.y rep. veh.autom y motoc. (074)",833,180,335,274,36,8,
"Comercio al por mayor (075)",292,135,19,110,12,16,
"Comercio al por menor (076)",4406,767,59,3166,100,314,
"Hoteles y restaurantes (077)",1639,541,90,883,56,69,
"Trans., almac. y comunicaciones (078)",2640,829,433,1320,34,24,
"Intermediación financiera (079)",235,227,1,5,2,,
"Activid.inmobil., empres. y alquileres (080)",1837,1275,215,296,44,7,
"Admin.pub. y defensa; p. segur soc.afil (081)",1225,993,232,,,,
"Enseñanza (082)",1412,1286,4,119,3,,
"Servicios sociales y de salud (083)",615,537,10,57,6,5,
"Otras activ. serv.comun.soc y personales (084)",839,419,74,323,19,4,
"Hogares privados con servicio doméstico (085)",639,,,,,,639
"Actividad economica no especificada (087)",1228,571,266,312,28,51,
"Hombres (088)",16110,4745,5482,5282,355,214,32
"Agric., ganadería, caza y silvicultura (089)",142,10,52,48,5,27,
"Pesca (090)",2070,46,1117,808,83,16,
"Explotación de minas y canteras (091)",930,314,605,7,4,,
"Industrias manufactureras (092)",1529,211,732,524,45,17,
"Suministro de electricidad, gas y agua (093)",177,94,82,1,,,
"Construcción (094)",2268,188,1435,606,31,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",2403,482,405,1363,77,76,
"Venta, mant.y rep. veh.autom y motoc. (096)",781,148,330,261,35,7,
"Comercio al por mayor (097)",147,74,17,38,10,8,
"Comercio al por menor (098)",1475,260,58,1064,32,61,
"Hoteles y restaurantes (099)",375,168,35,131,16,25,
"Trans., almac. y comunicaciones (100)",2325,638,398,1247,24,18,
"Intermediación financiera (101)",105,100,1,3,1,,
"Activid.inmobil., empres. y alquileres (102)",1305,881,188,194,38,4,
"Admin.pub. y defensa; p. segur soc.afil (103)",819,652,167,,,,
"Enseñanza (104)",418,380,3,33,2,,
"Servicios sociales y de salud (105)",155,128,,25,1,1,
"Otras activ. serv.comun.soc y personales (106)",390,182,50,145,10,3,
"Hogares privados con servicio doméstico (107)",32,,,,,,32
"Actividad economica no especificada (109)",667,271,212,147,18,19,
"Mujeres (110)",9573,4082,473,3846,179,386,607
"Agric., ganadería, caza y silvicultura (111)",77,3,31,18,1,24,
"Pesca (112)",70,25,26,16,1,2,
"Explotación de minas y canteras (113)",44,39,4,,,1,
"Industrias manufactureras (114)",423,76,90,228,23,6,
"Suministro de electricidad, gas y agua (115)",22,21,1,,,,
"Construcción (116)",91,40,42,7,1,1,
