"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANCAVELICA (000)",44264,17676,26588
"Casa independiente (001)",38674,14632,24042
"Departamento en edificio (002)",144,144,
"Vivienda en quinta (003)",598,598,
"Vivienda en casa de vecindad (004)",2194,2194,
"Choza o cabaña (005)",2538,,2538
"Vivienda improvisada (006)",60,60,
"Local no dest.para hab. humana (007)",53,46,7
"Otro tipo (008)",3,2,1
