"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia YUNGUYO (000)",19983,38,833,137,168,2083,7139,1344,1157,5522,97,321,1144
"Agric., ganadería, caza y silvicultura (001)",11086,,3,4,,,7056,1,9,4013,,,
"Pesca (002)",211,,,,1,,83,,,127,,,
"Explotación de minas y canteras (003)",5,,,1,,,,4,,,,,
"Industrias manufactureras (004)",1241,,5,6,3,,,1181,44,2,,,
"Suministro de electricidad, gas y agua (005)",10,,2,1,2,,,5,,,,,
"Construcción (006)",879,1,4,,1,,,18,621,234,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",2461,,2,15,2,1845,,128,7,462,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",130,,,3,,42,,80,5,,,,
"Comercio al por mayor (009)",135,,,3,1,131,,,,,,,
"Comercio al por menor (010)",2196,,2,9,1,1672,,48,2,462,,,
"Hoteles y restaurantes (011)",300,,1,4,1,185,,,,109,,,
"Trans., almac. y comunicaciones (012)",672,,1,3,2,,,,458,208,,,
"Intermediación financiera (013)",22,,,1,11,,,,,10,,,
"Activid.inmobil., empres. y alquileres (014)",137,,49,26,13,20,,4,6,19,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",333,28,31,12,104,4,,2,10,45,97,,
"Enseñanza (016)",687,9,660,,5,,,,,13,,,
"Servicios sociales y de salud (017)",117,,65,31,12,6,,1,,2,,,
"Otras activ. serv.comun.soc y personales (018)",108,,10,32,1,23,,,2,40,,,
"Hogares privados con servicio doméstico (019)",238,,,,,,,,,238,,,
"Actividad economica no especificada (021)",332,,,1,10,,,,,,,321,
"Desocupado (022)",1144,,,,,,,,,,,,1144
"Hombres (023)",11548,34,517,95,122,889,4876,982,1118,1894,96,127,798
"Agric., ganadería, caza y silvicultura (024)",5923,,3,2,,,4815,1,7,1095,,,
"Pesca (025)",160,,,,1,,61,,,98,,,
"Explotación de minas y canteras (026)",4,,,,,,,4,,,,,
"Industrias manufactureras (027)",859,,3,5,1,,,827,22,1,,,
"Suministro de electricidad, gas y agua (028)",10,,2,1,2,,,5,,,,,
"Construcción (029)",866,1,4,,,,,18,614,229,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",1089,,2,10,1,793,,122,5,156,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",110,,,3,,28,,76,3,,,,
"Comercio al por mayor (032)",68,,,1,1,66,,,,,,,
"Comercio al por menor (033)",911,,2,6,,699,,46,2,156,,,
"Hoteles y restaurantes (034)",77,,1,,1,55,,,,20,,,
"Trans., almac. y comunicaciones (035)",646,,1,3,2,,,,452,188,,,
"Intermediación financiera (036)",8,,,,6,,,,,2,,,
"Activid.inmobil., empres. y alquileres (037)",106,,33,20,12,20,,3,6,12,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",290,25,27,8,80,4,,2,10,38,96,,
"Enseñanza (039)",426,8,402,,4,,,,,12,,,
"Servicios sociales y de salud (040)",60,,31,17,8,3,,,,1,,,
"Otras activ. serv.comun.soc y personales (041)",80,,8,29,,14,,,2,27,,,
"Hogares privados con servicio doméstico (042)",15,,,,,,,,,15,,,
"Actividad economica no especificada (044)",131,,,,4,,,,,,,127,
"Desocupado (045)",798,,,,,,,,,,,,798
"Mujeres (046)",8435,4,316,42,46,1194,2263,362,39,3628,1,194,346
"Agric., ganadería, caza y silvicultura (047)",5163,,,2,,,2241,,2,2918,,,
"Pesca (048)",51,,,,,,22,,,29,,,
"Explotación de minas y canteras (049)",1,,,1,,,,,,,,,
"Industrias manufactureras (050)",382,,2,1,2,,,354,22,1,,,
"Construcción (052)",13,,,,1,,,,7,5,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",1372,,,5,1,1052,,6,2,306,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",20,,,,,14,,4,2,,,,
"Comercio al por mayor (055)",67,,,2,,65,,,,,,,
"Comercio al por menor (056)",1285,,,3,1,973,,2,,306,,,
"Hoteles y restaurantes (057)",223,,,4,,130,,,,89,,,
"Trans., almac. y comunicaciones (058)",26,,,,,,,,6,20,,,
"Intermediación financiera (059)",14,,,1,5,,,,,8,,,
"Activid.inmobil., empres. y alquileres (060)",31,,16,6,1,,,1,,7,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",43,3,4,4,24,,,,,7,1,,
"Enseñanza (062)",261,1,258,,1,,,,,1,,,
"Servicios sociales y de salud (063)",57,,34,14,4,3,,1,,1,,,
"Otras activ. serv.comun.soc y personales (064)",28,,2,3,1,9,,,,13,,,
"Hogares privados con servicio doméstico (065)",223,,,,,,,,,223,,,
"Actividad economica no especificada (067)",201,,,1,6,,,,,,,194,
"Desocupado (068)",346,,,,,,,,,,,,346
,,,,,,,,,,,,,
"URBANA (069)",6970,23,674,114,133,1376,1298,627,437,1663,45,140,440
"Agric., ganadería, caza y silvicultura (070)",2172,,1,2,,,1274,1,3,891,,,
"Pesca (071)",33,,,,1,,24,,,8,,,
"Explotación de minas y canteras (072)",2,,,1,,,,1,,,,,
"Industrias manufactureras (073)",573,,5,6,2,,,520,39,1,,,
"Suministro de electricidad, gas y agua (074)",8,,,1,2,,,5,,,,,
"Construcción (075)",211,1,4,,1,,,14,144,47,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",1556,,2,10,1,1199,,79,5,260,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",78,,,1,,23,,50,4,,,,
"Comercio al por mayor (078)",86,,,2,,84,,,,,,,
"Comercio al por menor (079)",1392,,2,7,1,1092,,29,1,260,,,
"Hoteles y restaurantes (080)",229,,1,4,1,141,,,,82,,,
"Trans., almac. y comunicaciones (081)",381,,1,3,2,,,,232,143,,,
"Intermediación financiera (082)",20,,,1,10,,,,,9,,,
"Activid.inmobil., empres. y alquileres (083)",112,,44,24,12,10,,4,5,13,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",215,13,25,12,78,4,,2,8,28,45,,
"Enseñanza (085)",545,9,525,,5,,,,,6,,,
"Servicios sociales y de salud (086)",101,,56,28,10,4,,1,,2,,,
"Otras activ. serv.comun.soc y personales (087)",75,,10,21,,18,,,1,25,,,
"Hogares privados con servicio doméstico (088)",148,,,,,,,,,148,,,
"Actividad economica no especificada (090)",149,,,1,8,,,,,,,140,
"Desocupado (091)",440,,,,,,,,,,,,440
"Hombres (092)",3893,21,386,76,94,536,850,434,405,688,44,76,283
"Agric., ganadería, caza y silvicultura (093)",1181,,1,,,,835,1,2,342,,,
"Pesca (094)",23,,,,1,,15,,,7,,,
"Explotación de minas y canteras (095)",1,,,,,,,1,,,,,
"Industrias manufactureras (096)",361,,3,5,1,,,333,19,,,,
"Suministro de electricidad, gas y agua (097)",8,,,1,2,,,5,,,,,
"Construcción (098)",200,1,4,,,,,14,137,44,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",639,,2,6,,467,,75,4,85,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",66,,,1,,14,,48,3,,,,
"Comercio al por mayor (101)",43,,,1,,42,,,,,,,
"Comercio al por menor (102)",530,,2,4,,411,,27,1,85,,,
"Hoteles y restaurantes (103)",59,,1,,1,42,,,,15,,,
"Trans., almac. y comunicaciones (104)",361,,1,3,2,,,,229,126,,,
"Intermediación financiera (105)",7,,,,5,,,,,2,,,
"Activid.inmobil., empres. y alquileres (106)",87,,31,19,11,10,,3,5,8,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",180,12,21,8,56,4,,2,8,25,44,,
"Enseñanza (108)",305,8,288,,4,,,,,5,,,
"Servicios sociales y de salud (109)",50,,26,15,7,1,,,,1,,,
"Otras activ. serv.comun.soc y personales (110)",56,,8,19,,12,,,1,16,,,
"Hogares privados con servicio doméstico (111)",12,,,,,,,,,12,,,
"Actividad economica no especificada (113)",80,,,,4,,,,,,,76,
"Desocupado (114)",283,,,,,,,,,,,,283
"Mujeres (115)",3077,2,288,38,39,840,448,193,32,975,1,64,157
"Agric., ganadería, caza y silvicultura (116)",991,,,2,,,439,,1,549,,,
"Pesca (117)",10,,,,,,9,,,1,,,
"Explotación de minas y canteras (118)",1,,,1,,,,,,,,,
"Industrias manufactureras (119)",212,,2,1,1,,,187,20,1,,,
"Construcción (121)",11,,,,1,,,,7,3,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",917,,,4,1,732,,4,1,175,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",12,,,,,9,,2,1,,,,
"Comercio al por mayor (124)",43,,,1,,42,,,,,,,
"Comercio al por menor (125)",862,,,3,1,681,,2,,175,,,
"Hoteles y restaurantes (126)",170,,,4,,99,,,,67,,,
"Trans., almac. y comunicaciones (127)",20,,,,,,,,3,17,,,
"Intermediación financiera (128)",13,,,1,5,,,,,7,,,
"Activid.inmobil., empres. y alquileres (129)",25,,13,5,1,,,1,,5,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",35,1,4,4,22,,,,,3,1,,
"Enseñanza (131)",240,1,237,,1,,,,,1,,,
"Servicios sociales y de salud (132)",51,,30,13,3,3,,1,,1,,,
"Otras activ. serv.comun.soc y personales (133)",19,,2,2,,6,,,,9,,,
"Hogares privados con servicio doméstico (134)",136,,,,,,,,,136,,,
"Actividad economica no especificada (136)",69,,,1,4,,,,,,,64,
"Desocupado (137)",157,,,,,,,,,,,,157
,,,,,,,,,,,,,
"RURAL (138)",13013,15,159,23,35,707,5841,717,720,3859,52,181,704
"Agric., ganadería, caza y silvicultura (139)",8914,,2,2,,,5782,,6,3122,,,
"Pesca (140)",178,,,,,,59,,,119,,,
"Explotación de minas y canteras (141)",3,,,,,,,3,,,,,
"Industrias manufactureras (142)",668,,,,1,,,661,5,1,,,
"Suministro de electricidad, gas y agua (143)",2,,2,,,,,,,,,,
"Construcción (144)",668,,,,,,,4,477,187,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",905,,,5,1,646,,49,2,202,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",52,,,2,,19,,30,1,,,,
"Comercio al por mayor (147)",49,,,1,1,47,,,,,,,
"Comercio al por menor (148)",804,,,2,,580,,19,1,202,,,
"Hoteles y restaurantes (149)",71,,,,,44,,,,27,,,
