"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia GRAN CHIMU (000)",10101,1188,2677,4735,117,1178,206
"Agric., ganadería, caza y silvicultura (001)",6300,5,1412,3787,69,1027,
"Explotación de minas y canteras (003)",1205,286,883,31,4,1,
"Industrias manufactureras (004)",169,13,51,89,6,10,
"Suministro de electricidad, gas y agua (005)",13,2,11,,,,
"Construcción (006)",236,4,172,45,2,13,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",545,60,6,409,13,57,
"Venta, mant.y rep. veh.autom y motoc. (008)",28,1,2,25,,,
"Comercio al por mayor (009)",34,4,3,21,3,3,
"Comercio al por menor (010)",483,55,1,363,10,54,
"Hoteles y restaurantes (011)",186,49,15,96,15,11,
"Trans., almac. y comunicaciones (012)",173,60,55,55,3,,
"Intermediación financiera (013)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (014)",56,46,5,3,2,,
"Admin.pub. y defensa; p. segur soc.afil (015)",122,106,16,,,,
"Enseñanza (016)",487,422,,65,,,
"Servicios sociales y de salud (017)",70,61,,9,,,
"Otras activ. serv.comun.soc y personales (018)",86,44,8,30,1,3,
"Hogares privados con servicio doméstico (019)",206,,,,,,206
"Actividad economica no especificada (021)",245,28,43,116,2,56,
"Hombres (022)",8659,735,2559,4222,100,1031,12
"Agric., ganadería, caza y silvicultura (023)",6141,4,1369,3725,67,976,
"Explotación de minas y canteras (025)",1142,254,852,31,4,1,
"Industrias manufactureras (026)",117,8,44,55,4,6,
"Suministro de electricidad, gas y agua (027)",12,2,10,,,,
"Construcción (028)",234,4,170,45,2,13,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",290,33,6,222,10,19,
"Venta, mant.y rep. veh.autom y motoc. (030)",25,1,2,22,,,
"Comercio al por mayor (031)",26,3,3,17,3,,
"Comercio al por menor (032)",239,29,1,183,7,19,
"Hoteles y restaurantes (033)",47,12,8,17,6,4,
"Trans., almac. y comunicaciones (034)",167,56,54,54,3,,
"Intermediación financiera (035)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (036)",45,36,4,3,2,,
"Admin.pub. y defensa; p. segur soc.afil (037)",91,77,14,,,,
"Enseñanza (038)",210,184,,26,,,
"Servicios sociales y de salud (039)",30,23,,7,,,
"Otras activ. serv.comun.soc y personales (040)",50,28,2,17,1,2,
"Hogares privados con servicio doméstico (041)",12,,,,,,12
"Actividad economica no especificada (043)",70,13,26,20,1,10,
"Mujeres (044)",1442,453,118,513,17,147,194
"Agric., ganadería, caza y silvicultura (045)",159,1,43,62,2,51,
"Explotación de minas y canteras (047)",63,32,31,,,,
"Industrias manufactureras (048)",52,5,7,34,2,4,
"Suministro de electricidad, gas y agua (049)",1,,1,,,,
"Construcción (050)",2,,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",255,27,,187,3,38,
"Venta, mant.y rep. veh.autom y motoc. (052)",3,,,3,,,
"Comercio al por mayor (053)",8,1,,4,,3,
"Comercio al por menor (054)",244,26,,180,3,35,
"Hoteles y restaurantes (055)",139,37,7,79,9,7,
"Trans., almac. y comunicaciones (056)",6,4,1,1,,,
"Intermediación financiera (057)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (058)",11,10,1,,,,
"Admin.pub. y defensa; p. segur soc.afil (059)",31,29,2,,,,
"Enseñanza (060)",277,238,,39,,,
"Servicios sociales y de salud (061)",40,38,,2,,,
"Otras activ. serv.comun.soc y personales (062)",36,16,6,13,,1,
"Hogares privados con servicio doméstico (063)",194,,,,,,194
"Actividad economica no especificada (065)",175,15,17,96,1,46,
,,,,,,,
"URBANA (066)",2316,557,592,881,56,154,76
"Agric., ganadería, caza y silvicultura (067)",750,1,312,346,23,68,
"Explotación de minas y canteras (069)",113,6,103,4,,,
"Industrias manufactureras (070)",98,11,25,48,5,9,
"Suministro de electricidad, gas y agua (071)",5,,5,,,,
"Construcción (072)",116,4,84,25,2,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",369,45,4,267,9,44,
"Venta, mant.y rep. veh.autom y motoc. (074)",16,,1,15,,,
"Comercio al por mayor (075)",26,3,3,15,2,3,
"Comercio al por menor (076)",327,42,,237,7,41,
"Hoteles y restaurantes (077)",120,27,6,64,15,8,
"Trans., almac. y comunicaciones (078)",100,39,28,33,,,
"Intermediación financiera (079)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (080)",29,24,1,3,1,,
"Admin.pub. y defensa; p. segur soc.afil (081)",95,85,10,,,,
"Enseñanza (082)",259,225,,34,,,
"Servicios sociales y de salud (083)",53,47,,6,,,
"Otras activ. serv.comun.soc y personales (084)",64,30,3,28,1,2,
"Hogares privados con servicio doméstico (085)",76,,,,,,76
"Actividad economica no especificada (087)",68,12,11,23,,22,
"Hombres (088)",1616,293,558,626,42,92,5
"Agric., ganadería, caza y silvicultura (089)",728,,304,336,22,66,
"Explotación de minas y canteras (091)",104,4,96,4,,,
"Industrias manufactureras (092)",63,6,21,27,3,6,
"Suministro de electricidad, gas y agua (093)",5,,5,,,,
"Construcción (094)",114,4,82,25,2,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",191,22,4,147,7,11,
"Venta, mant.y rep. veh.autom y motoc. (096)",14,,1,13,,,
"Comercio al por mayor (097)",20,2,3,13,2,,
"Comercio al por menor (098)",157,20,,121,5,11,
"Hoteles y restaurantes (099)",22,1,2,11,6,2,
"Trans., almac. y comunicaciones (100)",94,35,27,32,,,
"Activid.inmobil., empres. y alquileres (102)",23,18,1,3,1,,
"Admin.pub. y defensa; p. segur soc.afil (103)",68,60,8,,,,
"Enseñanza (104)",113,100,,13,,,
"Servicios sociales y de salud (105)",23,18,,5,,,
"Otras activ. serv.comun.soc y personales (106)",41,20,1,17,1,2,
"Hogares privados con servicio doméstico (107)",5,,,,,,5
"Actividad economica no especificada (109)",22,5,7,6,,4,
"Mujeres (110)",700,264,34,255,14,62,71
"Agric., ganadería, caza y silvicultura (111)",22,1,8,10,1,2,
"Explotación de minas y canteras (113)",9,2,7,,,,
"Industrias manufactureras (114)",35,5,4,21,2,3,
"Construcción (116)",2,,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",178,23,,120,2,33,
"Venta, mant.y rep. veh.autom y motoc. (118)",2,,,2,,,
"Comercio al por mayor (119)",6,1,,2,,3,
"Comercio al por menor (120)",170,22,,116,2,30,
"Hoteles y restaurantes (121)",98,26,4,53,9,6,
"Trans., almac. y comunicaciones (122)",6,4,1,1,,,
"Intermediación financiera (123)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (124)",6,6,,,,,
"Admin.pub. y defensa; p. segur soc.afil (125)",27,25,2,,,,
"Enseñanza (126)",146,125,,21,,,
"Servicios sociales y de salud (127)",30,29,,1,,,
"Otras activ. serv.comun.soc y personales (128)",23,10,2,11,,,
"Hogares privados con servicio doméstico (129)",71,,,,,,71
