"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia ANGARAES (000)",13251,46,150,528,1121,2043,5496,3867
"De 12 a 14 años (001)",41,,,,,,1,40
"De 15 a 19 años (002)",420,,,,,,231,189
"De 20 a 24 años (003)",1541,,,,,1,900,640
"De 25 a 29 años (004)",1718,,,,,48,1112,558
"De 30 a 34 años (005)",1602,,,,1,161,1071,369
"De 35 a 39 años (006)",1373,,,,5,225,869,274
"De 40 a 44 años (007)",1352,,,,21,342,715,274
"De 45 a 49 años (008)",1162,,,3,91,388,503,177
"De 50 y más años (009)",4042,46,150,525,1003,878,94,1346
"Sin nivel (010)",5331,41,126,408,762,960,1432,1602
"De 12 a 14 años (011)",5,,,,,,,5
"De 15 a 19 años (012)",15,,,,,,3,12
"De 20 a 24 años (013)",113,,,,,,70,43
"De 25 a 29 años (014)",247,,,,,6,174,67
"De 30 a 34 años (015)",372,,,,1,25,267,79
"De 35 a 39 años (016)",383,,,,,47,251,85
"De 40 a 44 años (017)",552,,,,3,103,305,141
"De 45 a 49 años (018)",601,,,1,24,192,295,89
"De 50 y más años (019)",3043,41,126,407,734,587,67,1081
"Educacion Inicial (020)",43,,,,,2,29,12
"De 20 a 24 años (023)",5,,,,,,,5
"De 25 a 29 años (024)",11,,,,,1,7,3
"De 30 a 34 años (025)",16,,,,,1,12,3
"De 35 a 39 años (026)",11,,,,,,10,1
"Primaria (030)",5067,5,16,94,246,738,2751,1217
"De 12 a 14 años (031)",24,,,,,,1,23
"De 15 a 19 años (032)",192,,,,,,116,76
"De 20 a 24 años (033)",727,,,,,1,482,244
"De 25 a 29 años (034)",846,,,,,21,604,221
"De 30 a 34 años (035)",783,,,,,72,555,156
"De 35 a 39 años (036)",684,,,,3,108,456,117
"De 40 a 44 años (037)",584,,,,11,153,328,92
"De 45 a 49 años (038)",423,,,1,37,139,184,62
"De 50 y más años (039)",804,5,16,93,195,244,25,226
"Secundaria (040)",1916,,7,14,63,230,953,649
"De 12 a 14 años (041)",12,,,,,,,12
"De 15 a 19 años (042)",203,,,,,,109,94
"De 20 a 24 años (043)",530,,,,,,294,236
"De 25 a 29 años (044)",413,,,,,15,256,142
"De 30 a 34 años (045)",251,,,,,53,135,63
"De 35 a 39 años (046)",177,,,,1,46,94,36
"De 40 a 44 años (047)",126,,,,4,50,47,25
"De 45 a 49 años (048)",80,,,,12,36,17,15
"De 50 y más años (049)",124,,7,14,46,30,1,26
"Sup. no Univ. incompleta (050)",165,,,1,6,15,67,76
"De 15 a 19 años (052)",6,,,,,,2,4
"De 20 a 24 años (053)",52,,,,,,21,31
