"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia REQUENA (000)",21213,17146,2193,1070,804
"Sin nivel (001)",587,552,28,5,2
"Educación inicial (002)",22,22,,,
"Primaria (003)",10096,9005,888,156,47
"Secundaria (004)",7925,6566,796,264,299
"Superior no univ. incompleta (005)",550,322,97,72,59
"Superior no univ. completa (006)",1164,351,239,369,205
"Superior univ. incompleta (007)",282,140,40,47,55
"Superior univ. completa (008)",587,188,105,157,137
"De 06 a 14 años (010)",686,592,68,26,
"Sin nivel (011)",36,34,2,,
"Educación inicial (012)",11,11,,,
"Primaria (013)",502,433,50,19,
"Secundaria (014)",137,114,16,7,
"De 15 a 29 años (020)",7004,5669,805,298,232
"Sin nivel (021)",83,78,3,1,1
"Educación inicial (022)",6,6,,,
"Primaria (023)",2374,2081,241,39,13
"Secundaria (024)",3814,3169,424,123,98
"Superior no univ. incompleta (025)",196,130,33,16,17
"Superior no univ. completa (026)",314,107,65,83,59
"Superior univ. incompleta (027)",80,50,10,10,10
"Superior univ. completa (028)",137,48,29,26,34
"De 30 a 44 años (030)",7141,5513,776,481,371
"Sin nivel (031)",97,90,3,3,1
"Educación inicial (032)",5,5,,,
"Primaria (033)",3055,2707,279,51,18
"Secundaria (034)",2705,2257,251,85,112
"Superior no univ. incompleta (035)",234,137,39,29,29
"Superior no univ. completa (036)",602,171,130,194,107
"Superior univ. incompleta (037)",133,56,22,27,28
"Superior univ. completa (038)",310,90,52,92,76
"De 45 a 64 años (040)",4961,4055,460,255,191
"Sin nivel (041)",199,186,12,1,
"Primaria (043)",3044,2736,256,40,12
"Secundaria (044)",1165,937,96,47,85
"Superior no univ. incompleta (045)",115,51,24,27,13
"Superior no univ. completa (046)",238,67,42,92,37
"Superior univ. incompleta (047)",66,31,8,10,17
"Superior univ. completa (048)",134,47,22,38,27
"De 65 y más años (050)",1421,1317,84,10,10
"Sin nivel (051)",172,164,8,,
"Primaria (053)",1121,1048,62,7,4
"Secundaria (054)",104,89,9,2,4
"Superior no univ. incompleta (055)",5,4,1,,
"Superior no univ. completa (056)",10,6,2,,2
"Superior univ. incompleta (057)",3,3,,,
"Superior univ. completa (058)",6,3,2,1,
,,,,,
"URBANA (060)",11926,8836,1365,955,770
