"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia BAGUA (000)",23767,55,1896,463,502,1954,7471,715,1403,8489,75,744
"Agric., ganadería, caza y silvicultura (001)",14088,1,12,10,,,7468,3,14,6580,,
"Pesca (002)",9,,,,,,3,,,6,,
"Explotación de minas y canteras (003)",6,,1,1,,,,1,,3,,
"Industrias manufactureras (004)",539,,8,13,2,2,,485,16,13,,
"Suministro de electricidad, gas y agua (005)",26,,1,4,5,,,5,1,10,,
"Construcción (006)",552,,16,15,3,,,21,344,153,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2225,,18,60,9,1510,,191,17,420,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",236,,1,13,2,49,,149,15,7,,
"Comercio al por mayor (009)",73,,1,3,1,65,,,,3,,
"Comercio al por menor (010)",1916,,16,44,6,1396,,42,2,410,,
"Hoteles y restaurantes (011)",640,1,5,26,8,348,,,1,251,,
"Trans., almac. y comunicaciones (012)",1189,,3,12,27,1,,1,976,169,,
"Intermediación financiera (013)",26,,6,6,13,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",392,,95,87,68,46,,1,11,84,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",447,25,34,34,208,3,,1,12,55,75,
