"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SUCRE (000)",11807,2079,367,4867,3304,223,527,111,329
"Jefe o Jefa (001)",3837,738,4,1376,1085,93,299,44,198
"Esposa(o)/ compa¤era(o) (002)",2077,475,4,855,530,40,111,13,49
"Hijo(a)/ hijastro(a) (003)",4590,618,309,2132,1346,54,64,36,31
"Yerno/ nuera (004)",99,3,,21,52,7,8,1,7
"Nieto(a) (005)",368,70,35,174,82,2,5,,
"Padres/ suegros (006)",111,69,,33,6,,2,,1
"Otro(a) pariente (007)",588,97,15,245,172,15,22,11,11
"Pensionista (009)",3,,,,,1,,,2
"Otro(a) no pariente (010)",134,9,,31,31,11,16,6,30
"Hombres (012)",5800,580,199,2425,1861,123,316,74,222
"Jefe o Jefa (013)",2598,208,,996,884,73,240,41,156
"Esposa(o)/ compa¤era(o) (014)",147,12,,43,49,3,20,2,18
"Hijo(a)/ hijastro(a) (015)",2429,293,169,1142,732,31,25,20,17
"Yerno/ nuera (016)",49,1,,5,27,4,4,1,7
"Nieto(a) (017)",188,33,22,77,53,1,2,,
"Padres/ suegros (018)",30,5,,20,3,,1,,1
"Otro(a) pariente (019)",279,25,8,123,93,7,15,5,3
"Pensionista (021)",3,,,,,1,,,2
"Otro(a) no pariente (022)",77,3,,19,20,3,9,5,18
"Mujeres (024)",6007,1499,168,2442,1443,100,211,37,107
"Jefe o Jefa (025)",1239,530,4,380,201,20,59,3,42
"Esposa(o)/ compa¤era(o) (026)",1930,463,4,812,481,37,91,11,31
"Hijo(a)/ hijastro(a) (027)",2161,325,140,990,614,23,39,16,14
"Yerno/ nuera (028)",50,2,,16,25,3,4,,
"Nieto(a) (029)",180,37,13,97,29,1,3,,
"Padres/ suegros (030)",81,64,,13,3,,1,,
"Otro(a) pariente (031)",309,72,7,122,79,8,7,6,8
"Otro(a) no pariente (034)",57,6,,12,11,8,7,1,12
,,,,,,,,,
"URBANA (036)",7193,1062,258,2709,2182,182,446,88,266
"Jefe o Jefa (037)",2273,347,1,708,714,75,245,33,150
"Esposa(o)/ compa¤era(o) (038)",1222,210,1,444,372,34,104,11,46
"Hijo(a)/ hijastro(a) (039)",2895,356,223,1274,889,42,55,32,24
"Yerno/ nuera (040)",54,1,,12,24,6,5,,6
"Nieto(a) (041)",214,42,24,89,53,1,5,,
"Padres/ suegros (042)",80,48,,27,2,,2,,1
"Otro(a) pariente (043)",351,53,9,134,106,14,17,7,11
"Pensionista (045)",2,,,,,,,,2
"Otro(a) no pariente (046)",102,5,,21,22,10,13,5,26
"Hombres (048)",3508,288,141,1297,1188,98,262,62,172
"Jefe o Jefa (049)",1502,72,,456,571,57,197,31,118
"Esposa(o)/ compa¤era(o) (050)",106,10,,21,34,3,20,2,16
"Hijo(a)/ hijastro(a) (051)",1517,171,123,676,471,24,21,20,11
"Yerno/ nuera (052)",26,,,4,10,4,2,,6
"Nieto(a) (053)",122,21,15,46,37,1,2,,
"Padres/ suegros (054)",24,3,,18,1,,1,,1
