"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MOYOBAMBA (000)",42629,1442,16223,14581,8663,1720
"Agric., ganadería, caza y silvicultura (001)",22629,1063,9045,6719,4580,1222
"Pesca (002)",21,4,7,5,4,1
"Explotación de minas y canteras (003)",14,,9,2,3,
"Industrias manufactureras (004)",1341,28,462,498,306,47
"Suministro de electricidad, gas y agua (005)",91,,26,44,21,
"Construcción (006)",1425,16,463,581,330,35
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",4665,124,1549,1764,1067,161
"Venta, mant.y rep. veh.autom.y motoc. (008)",507,18,228,187,70,4
"Comercio al por mayor (009)",244,2,89,85,60,8
"Comercio al por menor (010)",3914,104,1232,1492,937,149
"Hoteles y restaurantes (011)",1285,48,465,436,290,46
"Trans., almac. y comunicaciones (012)",2187,13,976,807,379,12
"Intermediación financiera (013)",122,,68,43,11,
"Activid.inmobil., empres. y alquileres (014)",801,1,289,331,160,20
"Admin.pub. y defensa; p. segur.soc afil (015)",1101,,302,489,299,11
"Enseñanza (016)",2299,,419,1435,434,11
"Servicios sociales y de salud (017)",516,1,141,240,126,8
"Otras activ. serv.comun.soc y personales (018)",548,11,220,198,107,12
"Hogares privados con servicio doméstico (019)",1321,65,696,326,190,44
"Actividad economica no especificada (021)",1259,12,528,412,249,58
"Desocupado (022)",1004,56,558,251,107,32
"Hombres (023)",31386,1050,11999,10447,6509,1381
"Agric., ganadería, caza y silvicultura (024)",19960,860,8021,5927,4036,1116
"Pesca (025)",17,3,5,4,4,1
"Explotación de minas y canteras (026)",11,,6,2,3,
"Industrias manufactureras (027)",988,26,375,354,203,30
"Suministro de electricidad, gas y agua (028)",83,,19,43,21,
"Construcción (029)",1374,14,446,555,324,35
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",2405,81,823,868,548,85
"Venta, mant.y rep. veh.autom.y motoc. (031)",460,17,205,169,65,4
"Comercio al por mayor (032)",156,2,55,56,38,5
"Comercio al por menor (033)",1789,62,563,643,445,76
"Hoteles y restaurantes (034)",266,9,105,80,61,11
"Trans., almac. y comunicaciones (035)",2021,10,868,768,364,11
"Intermediación financiera (036)",71,,32,30,9,
"Activid.inmobil., empres. y alquileres (037)",579,1,196,235,131,16
"Admin.pub. y defensa; p. segur.soc afil (038)",727,,161,328,228,10
"Enseñanza (039)",1140,,194,702,239,5
