"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia OYON (000)",5213,4955,21,919,931,769,1170,679,341,125,258,18879
"De 12 a 14 años (001)",12,2,1,1,,,,,,,10,1
"De 15 a 19 años (002)",141,115,2,104,7,1,1,,,,26,125
"De 20 a 24 años (003)",556,478,4,293,144,33,3,1,,,78,698
"De 25 a 29 años (004)",624,570,3,202,219,102,43,,1,,54,1137
"De 30 a 34 años (005)",620,598,1,115,175,161,132,13,1,,22,1611
"De 35 a 39 años (006)",675,652,2,57,128,167,223,64,9,2,23,2307
"De 40 a 44 años (007)",475,467,,29,73,84,160,82,32,7,8,2028
"De 45 a 49 años (008)",434,426,2,24,40,52,140,104,50,14,8,2127
"De 50 y más años (009)",1676,1647,6,94,145,169,468,415,248,102,29,8845
"PEA (010)",1574,1440,5,308,302,250,319,153,74,29,134,5008
"De 12 a 14 años (011)",3,,,,,,,,,,3,
"De 15 a 19 años (012)",31,26,,24,1,,1,,,,5,30
"De 20 a 24 años (013)",144,101,1,66,28,5,,1,,,43,143
"De 25 a 29 años (014)",194,160,1,79,52,22,6,,,,34,273
"De 30 a 34 años (015)",204,186,,63,55,31,35,1,1,,18,431
"De 35 a 39 años (016)",260,247,1,31,60,74,69,11,1,,13,757
"De 40 a 44 años (017)",154,151,,8,37,35,48,13,8,2,3,584
"De 45 a 49 años (018)",169,165,1,11,23,32,52,31,12,3,4,726
"De 50 y más años (019)",415,404,1,26,46,51,108,96,52,24,11,2064
"Ocupada (020)",1546,1419,5,305,295,245,316,151,73,29,127,4942
"De 12 a 14 años (021)",3,,,,,,,,,,3,
"De 15 a 19 años (022)",28,24,,22,1,,1,,,,4,28
