"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia NAZCA (000)",57531,57110,274,147
"Hombres (001)",29492,29289,130,73
"Mujeres (002)",28039,27821,144,74
"Menores de 1 año (003)",951,830,72,49
"Hombres (004)",472,420,30,22
"Mujeres (005)",479,410,42,27
"De 1 a 5 años (006)",4910,4680,137,93
"Hombres (007)",2531,2406,78,47
"Mujeres (008)",2379,2274,59,46
"De 6 a 14 años (009)",10563,10559,3,1
"Hombres (010)",5491,5487,3,1
"Mujeres (011)",5072,5072,,
"De 15 a 29 años (012)",15183,15179,1,3
"Hombres (013)",7724,7721,1,2
"Mujeres (014)",7459,7458,,1
"De 30 a 44 años (015)",12729,12722,7,
"Hombres (016)",6425,6421,4,
"Mujeres (017)",6304,6301,3,
"De 45 a 64 años (018)",9521,9516,5,
"Hombres (019)",4926,4926,,
"Mujeres (020)",4595,4590,5,
"De 65 a más años (021)",3674,3624,49,1
"Hombres (022)",1923,1908,14,1
"Mujeres (023)",1751,1716,35,
,,,,
"URBANA (024)",50507,50150,228,129
"Hombres (025)",25669,25487,113,69
"Mujeres (026)",24838,24663,115,60
"Menores de 1 año (027)",844,739,64,41
"Hombres (028)",421,372,29,20
"Mujeres (029)",423,367,35,21
"De 1 a 5 años (030)",4330,4131,115,84
"Hombres (031)",2251,2138,68,45
"Mujeres (032)",2079,1993,47,39
"De 6 a 14 años (033)",9384,9381,2,1
"Hombres (034)",4841,4838,2,1
"Mujeres (035)",4543,4543,,
"De 15 a 29 años (036)",13336,13334,,2
"Hombres (037)",6704,6702,,2
"Mujeres (038)",6632,6632,,
"De 30 a 44 años (039)",11333,11326,7,
"Hombres (040)",5676,5672,4,
"Mujeres (041)",5657,5654,3,
"De 45 a 64 años (042)",8257,8254,3,
"Hombres (043)",4220,4220,,
"Mujeres (044)",4037,4034,3,
"De 65 a más años (045)",3023,2985,37,1
"Hombres (046)",1556,1545,10,1
"Mujeres (047)",1467,1440,27,
,,,,
"RURAL (048)",7024,6960,46,18
"Hombres (049)",3823,3802,17,4
"Mujeres (050)",3201,3158,29,14
"Menores de 1 año (051)",107,91,8,8
"Hombres (052)",51,48,1,2
"Mujeres (053)",56,43,7,6
"De 1 a 5 años (054)",580,549,22,9
"Hombres (055)",280,268,10,2
"Mujeres (056)",300,281,12,7
"De 6 a 14 años (057)",1179,1178,1,
"Hombres (058)",650,649,1,
"Mujeres (059)",529,529,,
"De 15 a 29 años (060)",1847,1845,1,1
"Hombres (061)",1020,1019,1,
"Mujeres (062)",827,826,,1
"De 30 a 44 años (063)",1396,1396,,
"Hombres (064)",749,749,,
"Mujeres (065)",647,647,,
"De 45 a 64 años (066)",1264,1262,2,
"Hombres (067)",706,706,,
"Mujeres (068)",558,556,2,
"De 65 a más años (069)",651,639,12,
"Hombres (070)",367,363,4,
"Mujeres (071)",284,276,8,
