"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia PARINACOCHAS (000)",8040,29306,4328,17079,3712,12227
"Casa independiente (001)",7320,27090,4173,16495,3147,10595
"Vivienda en quinta (003)",28,127,28,127,,
"Vivienda en casa de vecindad (004)",35,117,35,117,,
"Choza o cabaña (005)",552,1606,,,552,1606
"Vivienda improvisada (006)",85,319,85,319,,
"Local no dest.para hab. humana (007)",10,29,7,21,3,8
"Otro tipo (008)",10,18,,,10,18
