"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia BARRANCA (000)",126520,4938,11663,13907,13300,22785,19111,30358,10458
"Sin nivel (001)",11535,4938,718,96,97,332,565,2349,2440
"Educación inicial (002)",3169,,3004,78,17,48,22,,
"Primaria (003)",40238,,7941,8380,1196,2588,3239,10889,6005
"Secundaria (004)",49095,,,5353,10210,12128,9450,10566,1388
"Superior no univ. incompleto (005)",4313,,,,686,1614,966,948,99
"Superior no univ. completo (006)",5333,,,,,1645,1697,1807,184
"Superior univ. incompleto (007)",5627,,,,1094,2527,918,1024,64
"Superior univ. completo (008)",7210,,,,,1903,2254,2775,278
"Hombres (010)",63468,2466,5928,7042,6754,11421,9397,15019,5441
"Sin nivel (011)",4366,2466,390,57,51,118,182,517,585
"Educación inicial (012)",1641,,1556,45,11,25,4,,
"Primaria (013)",19788,,3982,4334,660,1257,1370,4700,3485
"Secundaria (014)",26525,,,2606,5219,6421,5151,6188,940
"Superior no univ. incompleto (015)",2261,,,,345,819,467,562,68
"Superior no univ. completo (016)",2386,,,,,694,707,861,124
"Superior univ. incompleto (017)",2879,,,,468,1244,478,637,52
"Superior univ. completo (018)",3622,,,,,843,1038,1554,187
"Mujeres (020)",63052,2472,5735,6865,6546,11364,9714,15339,5017
"Sin nivel (021)",7169,2472,328,39,46,214,383,1832,1855
"Educación inicial (022)",1528,,1448,33,6,23,18,,
"Primaria (023)",20450,,3959,4046,536,1331,1869,6189,2520
"Secundaria (024)",22570,,,2747,4991,5707,4299,4378,448
"Superior no univ. incompleto (025)",2052,,,,341,795,499,386,31
"Superior no univ. completo (026)",2947,,,,,951,990,946,60
"Superior univ. incompleto (027)",2748,,,,626,1283,440,387,12
"Superior univ. completo (028)",3588,,,,,1060,1216,1221,91
,,,,,,,,,
"URBANA (030)",108118,4152,9909,11796,11307,19259,16360,26298,9037
"Sin nivel (031)",8620,4152,586,68,72,214,261,1509,1758
"Educación inicial (032)",2704,,2562,70,16,41,15,,
"Primaria (033)",33509,,6761,6977,908,1920,2442,9093,5408
"Secundaria (034)",42289,,,4681,8675,10037,8126,9491,1279
