"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHACHAPOYAS (000)",665,176,489
"Sin nivel (001)",16,3,13
"Educación inicial (002)",1,,1
"Primaria (003)",227,43,184
"Secundaria (004)",206,63,143
"Superior no univ. incompleta (005)",31,6,25
"Superior no univ. completa (006)",99,24,75
"Superior univ. incompleta (007)",24,10,14
"Superior univ. completa (008)",61,27,34
"Hombres (010)",418,92,326
"Sin nivel (011)",9,2,7
"Educación inicial (012)",1,,1
"Primaria (013)",172,23,149
"Secundaria (014)",146,42,104
"Superior no univ. incompleta (015)",18,2,16
"Superior no univ. completa (016)",32,5,27
"Superior univ. incompleta (017)",13,4,9
"Superior univ. completa (018)",27,14,13
"Mujeres (020)",247,84,163
"Sin nivel (021)",7,1,6
"Primaria (023)",55,20,35
"Secundaria (024)",60,21,39
"Superior no univ. incompleta (025)",13,4,9
"Superior no univ. completa (026)",67,19,48
"Superior univ. incompleta (027)",11,6,5
"Superior univ. completa (028)",34,13,21
,,,
"AREA URBANA (030)",569,161,408
"Sin nivel (031)",13,3,10
"Primaria (033)",153,30,123
"Secundaria (034)",191,61,130
"Superior no univ. incompleta (035)",30,6,24
"Superior no univ. completa (036)",97,24,73
"Superior univ. incompleta (037)",24,10,14
"Superior univ. completa (038)",61,27,34
"Hombres (040)",344,84,260
"Sin nivel (041)",8,2,6
"Primaria (043)",115,17,98
"Secundaria (044)",134,40,94
"Superior no univ. incompleta (045)",17,2,15
"Superior no univ. completa (046)",30,5,25
"Superior univ. incompleta (047)",13,4,9
"Superior univ. completa (048)",27,14,13
"Mujeres (050)",225,77,148
"Sin nivel (051)",5,1,4
"Primaria (053)",38,13,25
"Secundaria (054)",57,21,36
"Superior no univ. incompleta (055)",13,4,9
"Superior no univ. completa (056)",67,19,48
"Superior univ. incompleta (057)",11,6,5
"Superior univ. completa (058)",34,13,21
,,,
"AREA RURAL (060)",96,15,81
"Sin nivel (061)",3,,3
"Educación inicial (062)",1,,1
"Primaria (063)",74,13,61
"Secundaria (064)",15,2,13
"Superior no univ. incompleta (065)",1,,1
"Superior no univ. completa (066)",2,,2
"Hombres (070)",74,8,66
"Sin nivel (071)",1,,1
"Educación inicial (072)",1,,1
"Primaria (073)",57,6,51
"Secundaria (074)",12,2,10
"Superior no univ. incompleta (075)",1,,1
"Superior no univ. completa (076)",2,,2
"Mujeres (080)",22,7,15
"Sin nivel (081)",2,,2
"Primaria (083)",17,7,10
"Secundaria (084)",3,,3
