"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CASMA (000)",42100,29251,12849
"Casa independiente (001)",41469,28708,12761
"Departamento en edificio (002)",81,81,
"Vivienda en quinta (003)",135,135,
"Vivienda en casa de vecindad (004)",53,53,
"Choza o cabaña (005)",83,,83
"Vivienda improvisada (006)",239,239,
"Local no dest.para hab. humana (007)",36,31,5
"Otro tipo (008)",4,4,
