"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia COTABAMBAS (000)",10797,54,164,444,837,1862,4550,2886
"De 12 a 14 años (001)",16,,,,,,2,14
"De 15 a 19 años (002)",328,,,,,,197,131
"De 20 a 24 años (003)",1063,,,,,,683,380
"De 25 a 29 años (004)",1324,,,,,31,943,350
"De 30 a 34 años (005)",1300,,,,,119,940,241
"De 35 a 39 años (006)",1213,,,,1,237,794,181
"De 40 a 44 años (007)",1148,,,,17,353,587,191
"De 45 a 49 años (008)",939,,,1,38,400,323,177
"De 50 y más años (009)",3466,54,164,443,781,722,81,1221
"Conviviente (010)",4206,,14,44,118,439,2541,1050
"De 12 a 14 años (011)",10,,,,,,2,8
"De 15 a 19 años (012)",250,,,,,,164,86
"De 20 a 24 años (013)",832,,,,,,567,265
"De 25 a 29 años (014)",861,,,,,17,655,189
"De 30 a 34 años (015)",694,,,,,52,530,112
"De 35 a 39 años (016)",491,,,,,73,347,71
"De 40 a 44 años (017)",346,,,,7,100,174,65
"De 45 a 49 años (018)",218,,,,11,72,81,54
"De 50 y más años (019)",504,,14,44,100,125,21,200
"Separado(a) (020)",356,,1,8,12,58,150,127
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",34,,,,,,21,13
"De 20 a 24 años (023)",61,,,,,,40,21
"De 25 a 29 años (024)",62,,,,,4,37,21
"De 30 a 34 años (025)",51,,,,,5,26,20
"De 35 a 39 años (026)",41,,,,,14,14,13
"De 40 a 44 años (027)",25,,,,2,11,6,6
"De 45 a 49 años (028)",21,,,,1,10,5,5
"De 50 y más años (029)",60,,1,8,9,14,1,27
"Casado(a) (030)",4487,13,53,177,468,1151,1707,918
"De 12 a 14 años (031)",2,,,,,,,2
"De 15 a 19 años (032)",21,,,,,,4,17
"De 20 a 24 años (033)",77,,,,,,53,24
"De 25 a 29 años (034)",282,,,,,6,225,51
"De 30 a 34 años (035)",484,,,,,52,367,65
"De 35 a 39 años (036)",609,,,,1,133,404,71
"De 40 a 44 años (037)",699,,,,8,215,383,93
"De 45 a 49 años (038)",591,,,1,24,263,219,84
"De 50 y más años (039)",1722,13,53,176,435,482,52,511
"Viudo(a) (040)",1379,40,94,208,231,192,102,512
"De 15 a 19 años (042)",5,,,,,,3,2
"De 20 a 24 años (043)",9,,,,,,5,4
"De 25 a 29 años (044)",16,,,,,2,9,5
"De 30 a 34 años (045)",28,,,,,5,10,13
"De 35 a 39 años (046)",46,,,,,10,27,9
"De 40 a 44 años (047)",64,,,,,22,23,19
"De 45 a 49 años (048)",93,,,,2,53,18,20
"De 50 y más años (049)",1118,40,94,208,229,100,7,440
