"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ABANCAY (000)",95842,60601,35241
"Casa independiente (001)",85963,51599,34364
"Departamento en edificio (002)",929,929,
"Vivienda en quinta (003)",417,417,
"Vivienda en casa de vecindad (004)",7522,7522,
"Choza o cabaña (005)",869,,869
"Vivienda improvisada (006)",31,31,
"Local no dest.para hab. humana (007)",93,86,7
"Otro tipo (008)",18,17,1
