"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MAYNAS (000)",448059,39245,11970,156758,168896,16797,17455,15641,21297
"Jefe o Jefa (001)",100394,2248,61,31022,41758,4557,6906,4119,9723
"Esposa(o)/ compa¤era(o) (002)",65634,2704,54,24788,26766,2148,3525,1653,3996
"Hijo(a)/ hijastro(a) (003)",187080,22304,8450,67941,65372,6734,4360,7171,4748
"Yerno/ nuera (004)",11542,113,7,2180,6748,666,676,448,704
"Nieto(a) (005)",25884,6484,2459,10000,5705,408,205,455,168
"Padres/ suegros (006)",7638,1541,,4520,1204,65,106,49,153
"Otro(a) pariente (007)",38902,3302,814,13016,16322,1669,1213,1334,1232
"Trabajador(a) del hogar (008)",2027,62,6,772,1078,71,17,14,7
"Pensionista (009)",635,13,,102,300,52,38,57,73
"Otro(a) no pariente (010)",8323,474,119,2417,3643,427,409,341,493
"Hombres (012)",223882,18110,6122,74389,86893,9061,8854,8892,11561
"Jefe o Jefa (013)",71814,1208,42,21565,30334,3335,4886,3208,7236
"Esposa(o)/ compa¤era(o) (014)",6121,99,6,1384,3151,319,373,312,477
"Hijo(a)/ hijastro(a) (015)",98766,11398,4355,35797,35449,3592,2132,3797,2246
"Yerno/ nuera (016)",5266,33,3,685,3051,373,413,257,451
"Nieto(a) (017)",13526,3291,1267,5197,3077,229,118,262,85
"Padres/ suegros (018)",2649,276,,1680,522,29,36,23,83
"Otro(a) pariente (019)",20512,1564,401,6614,8931,906,654,784,658
"Trabajador(a) del hogar (020)",187,5,,67,95,10,2,5,3
"Pensionista (021)",374,6,,51,181,29,23,39,45
"Otro(a) no pariente (022)",4667,230,48,1349,2102,239,217,205,277
"Mujeres (024)",224177,21135,5848,82369,82003,7736,8601,6749,9736
"Jefe o Jefa (025)",28580,1040,19,9457,11424,1222,2020,911,2487
"Esposa(o)/ compa¤era(o) (026)",59513,2605,48,23404,23615,1829,3152,1341,3519
"Hijo(a)/ hijastro(a) (027)",88314,10906,4095,32144,29923,3142,2228,3374,2502
"Yerno/ nuera (028)",6276,80,4,1495,3697,293,263,191,253
"Nieto(a) (029)",12358,3193,1192,4803,2628,179,87,193,83
"Padres/ suegros (030)",4989,1265,,2840,682,36,70,26,70
"Otro(a) pariente (031)",18390,1738,413,6402,7391,763,559,550,574
"Trabajador(a) del hogar (032)",1840,57,6,705,983,61,15,9,4
"Pensionista (033)",261,7,,51,119,23,15,18,28
"Otro(a) no pariente (034)",3656,244,71,1068,1541,188,192,136,216
,,,,,,,,,
"URBANA (036)",358627,25907,9874,105154,148579,16209,16918,15360,20626
"Jefe o Jefa (037)",80945,1054,50,19378,36199,4335,6626,3974,9329
"Esposa(o)/ compa¤era(o) (038)",50407,951,50,14618,23766,2093,3420,1625,3884
"Hijo(a)/ hijastro(a) (039)",146477,14778,6757,45453,56836,6532,4291,7109,4721
"Yerno/ nuera (040)",9673,68,5,1305,5853,643,663,438,698
"Nieto(a) (041)",22280,5199,2196,8326,5324,408,204,455,168
