"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CORONEL PORTILLO (000)",328463,277747,50716
"Casa independiente (001)",297160,263644,33516
"Departamento en edificio (002)",1311,1311,
"Vivienda en quinta (003)",7464,7464,
"Vivienda en casa de vecindad (004)",1951,1951,
"Choza o cabaña (005)",17128,,17128
"Vivienda improvisada (006)",3049,3049,
"Local no dest.para hab. humana (007)",281,266,15
"Otro tipo (008)",119,62,57
