"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BARRANCA (000)",52177,48426,13104,8476,8331,5655,6554,3405,1821,1080,3751,120185
"De 12 a 14 años (001)",4197,4162,4145,16,1,,,,,,35,18
"De 15 a 19 años (002)",6546,6356,5575,698,71,9,3,,,,190,879
"De 20 a 24 años (003)",5873,4748,1826,2132,667,97,21,5,,,1125,3878
"De 25 a 29 años (004)",5491,4496,463,1978,1459,469,116,9,2,,995,6860
"De 30 a 34 años (005)",4995,4532,273,1253,1680,835,441,38,5,7,463,9344
"De 35 a 39 años (006)",4719,4437,168,847,1443,990,801,161,23,4,282,11377
"De 40 a 44 años (007)",4167,3962,133,528,1073,908,953,288,54,25,205,12109
"De 45 a 49 años (008)",3429,3285,100,325,656,700,914,394,157,39,144,12052
"De 50 y más años (009)",12760,12448,421,699,1281,1647,3305,2510,1580,1005,312,63668
"Conviviente (010)",14489,13991,793,4182,3652,2152,1938,792,313,169,498,35952
"De 12 a 14 años (011)",45,19,9,10,,,,,,,26,10
"De 15 a 19 años (012)",899,751,186,501,57,7,,,,,148,636
"De 20 a 24 años (013)",2392,2221,232,1412,480,74,19,4,,,171,2698
"De 25 a 29 años (014)",2753,2668,142,1123,986,331,78,6,2,,85,4465
"De 30 a 34 años (015)",2354,2327,71,512,893,536,284,25,2,4,27,5325
"De 35 a 39 años (016)",1965,1950,44,306,592,485,410,96,13,4,15,5459
"De 40 a 44 años (017)",1437,1429,27,134,333,348,405,146,27,9,8,4859
"De 45 a 49 años (018)",947,941,25,73,139,178,280,159,65,22,6,3949
"De 50 y más años (019)",1697,1685,57,111,172,193,462,356,204,130,12,8551
"Separado(a) (020)",2989,2921,33,904,671,431,494,227,106,55,68,8680
"De 12 a 14 años (021)",4,3,1,2,,,,,,,1,2
