"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SECHURA (000)",20424,569,8403,6430,4156,866
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",34,,3,15,15,1
"Profes., científicos e intelectuales (002)",927,,336,401,184,6
"Técnicos de nivel medio y trab.asimilados (003)",591,1,262,206,109,13
"Jefes y empleados de oficina (004)",574,,313,184,75,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2989,80,1005,1044,729,131
"Agricult.trabaj. calif. agrop. y pesqueros (006)",5157,64,1824,1526,1285,458
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1579,59,694,520,260,46
"Obreros construc., conf., papel, fab., instr. (008)",2367,20,973,841,496,37
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",4909,303,2375,1331,767,133
"Otra (010)",56,,13,31,12,
"Ocupación no especificada (011)",262,1,108,70,69,14
"Desocupado (012)",979,41,497,261,155,25
"Hombres (013)",14993,393,6054,4656,3168,722
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",29,,3,13,12,1
"Profes., científicos e intelectuales (015)",457,,119,210,122,6
"Técnicos de nivel medio y trab.asimilados (016)",349,1,137,120,80,11
"Jefes y empleados de oficina (017)",205,,78,75,50,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",996,43,346,332,229,46
"Agricult.trabaj. calif. agrop. y pesqueros (019)",5039,64,1787,1499,1244,445
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",911,18,362,306,186,39
"Obreros construc., conf., papel, fab., instr. (021)",2303,18,949,819,480,37
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",3749,218,1837,1002,589,103
"Otra (023)",55,,12,31,12,
"Ocupación no especificada (024)",71,,24,21,19,7
"Desocupado (025)",829,31,400,228,145,25
"Mujeres (026)",5431,176,2349,1774,988,144
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",5,,,2,3,
"Profes., científicos e intelectuales (028)",470,,217,191,62,
"Técnicos de nivel medio y trab.asimilados (029)",242,,125,86,29,2
"Jefes y empleados de oficina (030)",369,,235,109,25,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1993,37,659,712,500,85
"Agricult.trabaj. calif. agrop. y pesqueros (032)",118,,37,27,41,13
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",668,41,332,214,74,7
