"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CAJABAMBA (000)",19058,124,474,1114,2089,3586,7574,4097
"De 12 a 14 años (001)",30,,,,,,1,29
"De 15 a 19 años (002)",656,,,,,,423,233
"De 20 a 24 años (003)",2070,,,,,1,1386,683
"De 25 a 29 años (004)",2303,,,,,91,1640,572
"De 30 a 34 años (005)",2146,,,,,292,1472,382
"De 35 a 39 años (006)",2185,,,,15,547,1291,332
"De 40 a 44 años (007)",1889,,,1,75,698,851,264
"De 45 a 49 años (008)",1610,,,5,205,754,413,233
"De 50 y más años (009)",6169,124,474,1108,1794,1203,97,1369
"Sin nivel (010)",5817,83,350,710,991,1000,1351,1332
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",62,,,,,,37,25
"De 20 a 24 años (013)",220,,,,,,150,70
"De 25 a 29 años (014)",332,,,,,11,244,77
"De 30 a 34 años (015)",350,,,,,33,254,63
"De 35 a 39 años (016)",451,,,,1,93,290,67
"De 40 a 44 años (017)",413,,,,11,130,202,70
"De 45 a 49 años (018)",425,,,1,31,189,138,66
"De 50 y más años (019)",3563,83,350,709,948,544,36,893
"Educacion Inicial (020)",28,,,,,1,22,5
"De 15 a 19 años (022)",1,,,,,,1,
"De 20 a 24 años (023)",4,,,,,,1,3
"De 25 a 29 años (024)",8,,,,,,6,2
"De 30 a 34 años (025)",9,,,,,1,8,
"De 35 a 39 años (026)",6,,,,,,6,
"Primaria (030)",10098,38,107,339,894,2024,4830,1866
"De 12 a 14 años (031)",20,,,,,,1,19
"De 15 a 19 años (032)",446,,,,,,286,160
"De 20 a 24 años (033)",1323,,,,,1,926,396
"De 25 a 29 años (034)",1392,,,,,43,1056,293
"De 30 a 34 años (035)",1295,,,,,173,940,182
"De 35 a 39 años (036)",1315,,,,10,340,790,175
"De 40 a 44 años (037)",1144,,,,45,425,540,134
"De 45 a 49 años (038)",938,,,3,129,454,238,114
"De 50 y más años (039)",2225,38,107,336,710,588,53,393
"Secundaria (040)",1633,1,9,36,109,279,778,421
"De 12 a 14 años (041)",9,,,,,,,9
"De 15 a 19 años (042)",132,,,,,,87,45
"De 20 a 24 años (043)",336,,,,,,218,118
"De 25 a 29 años (044)",294,,,,,26,189,79
"De 30 a 34 años (045)",229,,,,,38,138,53
"De 35 a 39 años (046)",170,,,,2,55,82,31
"De 40 a 44 años (047)",142,,,1,11,67,42,21
"De 45 a 49 años (048)",118,,,1,26,57,17,17
"De 50 y más años (049)",203,1,9,34,70,36,5,48
"Sup. no Univ. incompleta (050)",278,1,,2,10,35,149,81
