"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SAN PABLO (000)",782,337,445
"Sin nivel (001)",55,23,32
"Primaria (003)",408,195,213
"Secundaria (004)",239,95,144
"Superior no univ. incompleta (005)",11,3,8
"Superior no univ. completa (006)",53,15,38
"Superior univ. incompleta (007)",2,1,1
"Superior univ. completa (008)",14,5,9
"Hombres (010)",596,227,369
"Sin nivel (011)",39,14,25
"Primaria (013)",307,127,180
"Secundaria (014)",201,72,129
"Superior no univ. incompleta (015)",7,2,5
"Superior no univ. completa (016)",32,8,24
"Superior univ. incompleta (017)",2,1,1
"Superior univ. completa (018)",8,3,5
"Mujeres (020)",186,110,76
"Sin nivel (021)",16,9,7
"Primaria (023)",101,68,33
"Secundaria (024)",38,23,15
"Superior no univ. incompleta (025)",4,1,3
"Superior no univ. completa (026)",21,7,14
"Superior univ. completa (028)",6,2,4
,,,
"AREA URBANA (030)",131,42,89
"Sin nivel (031)",2,2,
"Primaria (033)",31,11,20
"Secundaria (034)",48,17,31
"Superior no univ. incompleta (035)",7,,7
"Superior no univ. completa (036)",35,9,26
"Superior univ. incompleta (037)",1,1,
"Superior univ. completa (038)",7,2,5
"Hombres (040)",96,30,66
"Sin nivel (041)",2,2,
"Primaria (043)",27,10,17
"Secundaria (044)",39,12,27
"Superior no univ. incompleta (045)",4,,4
"Superior no univ. completa (046)",20,5,15
"Superior univ. incompleta (047)",1,1,
"Superior univ. completa (048)",3,,3
"Mujeres (050)",35,12,23
"Primaria (053)",4,1,3
"Secundaria (054)",9,5,4
"Superior no univ. incompleta (055)",3,,3
"Superior no univ. completa (056)",15,4,11
"Superior univ. completa (058)",4,2,2
,,,
"AREA RURAL (060)",651,295,356
"Sin nivel (061)",53,21,32
"Primaria (063)",377,184,193
"Secundaria (064)",191,78,113
"Superior no univ. incompleta (065)",4,3,1
"Superior no univ. completa (066)",18,6,12
"Superior univ. incompleta (067)",1,,1
"Superior univ. completa (068)",7,3,4
"Hombres (070)",500,197,303
"Sin nivel (071)",37,12,25
"Primaria (073)",280,117,163
"Secundaria (074)",162,60,102
"Superior no univ. incompleta (075)",3,2,1
"Superior no univ. completa (076)",12,3,9
"Superior univ. incompleta (077)",1,,1
"Superior univ. completa (078)",5,3,2
"Mujeres (080)",151,98,53
"Sin nivel (081)",16,9,7
"Primaria (083)",97,67,30
"Secundaria (084)",29,18,11
"Superior no univ. incompleta (085)",1,1,
"Superior no univ. completa (086)",6,3,3
"Superior univ. completa (088)",2,,2
