"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MELGAR (000)",24305,20154,1153,748,2250
"Sin nivel (001)",2620,2547,51,14,8
"Educación inicial (002)",24,22,2,,
"Primaria (003)",9341,8860,236,112,133
"Secundaria (004)",7748,6631,415,219,483
"Superior no univ. incompleta (005)",866,576,76,56,158
"Superior no univ. completa (006)",1690,764,157,154,615
"Superior univ. incompleta (007)",509,281,41,32,155
"Superior univ. completa (008)",1507,473,175,161,698
"De 06 a 14 años (010)",359,342,15,,2
"Sin nivel (011)",19,18,1,,
"Educación inicial (012)",8,8,,,
"Primaria (013)",235,225,10,,
"Secundaria (014)",97,91,4,,2
"De 15 a 29 años (020)",6589,5447,412,231,499
"Sin nivel (021)",82,80,2,,
"Educación inicial (022)",9,8,1,,
"Primaria (023)",1577,1496,45,24,12
"Secundaria (024)",3535,3098,212,104,121
"Superior no univ. incompleta (025)",376,267,35,25,49
"Superior no univ. completa (026)",562,308,53,42,159
"Superior univ. incompleta (027)",166,97,21,9,39
"Superior univ. completa (028)",282,93,43,27,119
"De 30 a 44 años (030)",8456,6606,454,324,1072
"Sin nivel (031)",291,272,11,5,3
"Educación inicial (032)",7,6,1,,
"Primaria (033)",3159,2982,92,41,44
"Secundaria (034)",2809,2350,142,78,239
"Superior no univ. incompleta (035)",349,229,30,21,69
"Superior no univ. completa (036)",863,392,74,89,308
"Superior univ. incompleta (037)",217,111,16,16,74
"Superior univ. completa (038)",761,264,88,74,335
"De 45 a 64 años (040)",6690,5625,231,179,655
"Sin nivel (041)",1191,1161,20,6,4
"Primaria (043)",3339,3155,76,41,67
"Secundaria (044)",1205,1000,53,35,117
"Superior no univ. incompleta (045)",136,77,10,10,39
"Superior no univ. completa (046)",251,54,29,23,145
"Superior univ. incompleta (047)",124,71,4,7,42
"Superior univ. completa (048)",444,107,39,57,241
"De 65 y más años (050)",2211,2134,41,14,22
"Sin nivel (051)",1037,1016,17,3,1
"Primaria (053)",1031,1002,13,6,10
"Secundaria (054)",102,92,4,2,4
"Superior no univ. incompleta (055)",5,3,1,,1
"Superior no univ. completa (056)",14,10,1,,3
"Superior univ. incompleta (057)",2,2,,,
"Superior univ. completa (058)",20,9,5,3,3
,,,,,
