"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PALLASCA (000)",7928,1322,2018,3333,62,1100,93
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",48,48,,,,,
"Profes., científicos e intelectuales (002)",743,686,,54,2,1,
"Técnicos de nivel medio y trab. asimilados (003)",157,120,,35,2,,
"Jefes y empleados de oficina (004)",216,216,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",527,54,15,374,9,75,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2434,,6,2398,30,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",672,,475,178,4,15,
"Obreros construc.,conf.,papel, fab., instr. (008)",457,55,298,87,15,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2440,105,1192,120,,930,93
"Otra (010)",18,18,,,,,
"Ocupación no especificada (011)",216,20,32,87,,77,
"Hombres (012)",6296,785,1864,2772,59,813,3
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",37,37,,,,,
"Profes., científicos e intelectuales (014)",394,356,,36,2,,
"Técnicos de nivel medio y trab. asimilados (015)",113,84,,27,2,,
"Jefes y empleados de oficina (016)",143,143,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",196,23,3,139,6,25,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2296,,5,2261,30,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",624,,456,153,4,11,
"Obreros construc.,conf.,papel, fab., instr. (020)",448,54,293,85,15,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1966,63,1091,54,,755,3
"Otra (022)",18,18,,,,,
"Ocupación no especificada (023)",61,7,16,17,,21,
"Mujeres (024)",1632,537,154,561,3,287,90
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",11,11,,,,,
"Profes., científicos e intelectuales (026)",349,330,,18,,1,
"Técnicos de nivel medio y trab. asimilados (027)",44,36,,8,,,
"Jefes y empleados de oficina (028)",73,73,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",331,31,12,235,3,50,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",138,,1,137,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",48,,19,25,,4,
"Obreros construc.,conf.,papel, fab., instr. (032)",9,1,5,2,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",474,42,101,66,,175,90
"Ocupación no especificada (035)",155,13,16,70,,56,
,,,,,,,
"URBANA (036)",4358,1008,1248,1565,40,426,71
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",40,40,,,,,
"Profes., científicos e intelectuales (038)",524,497,,25,1,1,
"Técnicos de nivel medio y trab. asimilados (039)",119,94,,24,1,,
"Jefes y empleados de oficina (040)",185,185,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",405,40,13,285,7,60,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",916,,1,897,18,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",387,,249,126,2,10,
"Obreros construc.,conf.,papel, fab., instr. (044)",309,40,201,56,11,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",1309,88,762,94,,294,71
"Otra (046)",15,15,,,,,
"Ocupación no especificada (047)",149,9,22,58,,60,
"Hombres (048)",3247,603,1132,1183,37,290,2
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",32,32,,,,,
"Profes., científicos e intelectuales (050)",281,264,,16,1,,
"Técnicos de nivel medio y trab. asimilados (051)",84,64,,19,1,,
"Jefes y empleados de oficina (052)",117,117,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",144,16,2,103,4,19,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",856,,,838,18,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",350,,238,103,2,7,
"Obreros construc.,conf.,papel, fab., instr. (056)",304,40,199,54,11,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",1022,51,683,39,,247,2
"Otra (058)",15,15,,,,,
"Ocupación no especificada (059)",42,4,10,11,,17,
"Mujeres (060)",1111,405,116,382,3,136,69
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",8,8,,,,,
"Profes., científicos e intelectuales (062)",243,233,,9,,1,
"Técnicos de nivel medio y trab. asimilados (063)",35,30,,5,,,
"Jefes y empleados de oficina (064)",68,68,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",261,24,11,182,3,41,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",60,,1,59,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",37,,11,23,,3,
"Obreros construc.,conf.,papel, fab., instr. (068)",5,,2,2,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",287,37,79,55,,47,69
"Ocupación no especificada (071)",107,5,12,47,,43,
,,,,,,,
"RURAL (072)",3570,314,770,1768,22,674,22
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",8,8,,,,,
"Profes., científicos e intelectuales (074)",219,189,,29,1,,
"Técnicos de nivel medio y trab. asimilados (075)",38,26,,11,1,,
"Jefes y empleados de oficina (076)",31,31,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",122,14,2,89,2,15,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",1518,,5,1501,12,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",285,,226,52,2,5,
"Obreros construc.,conf.,papel, fab., instr. (080)",148,15,97,31,4,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",1131,17,430,26,,636,22
"Otra (082)",3,3,,,,,
"Ocupación no especificada (083)",67,11,10,29,,17,
"Hombres (084)",3049,182,732,1589,22,523,1
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",5,5,,,,,
"Profes., científicos e intelectuales (086)",113,92,,20,1,,
"Técnicos de nivel medio y trab. asimilados (087)",29,20,,8,1,,
"Jefes y empleados de oficina (088)",26,26,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",52,7,1,36,2,6,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",1440,,5,1423,12,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",274,,218,50,2,4,
"Obreros construc.,conf.,papel, fab., instr. (092)",144,14,94,31,4,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",944,12,408,15,,508,1
"Otra (094)",3,3,,,,,
"Ocupación no especificada (095)",19,3,6,6,,4,
"Mujeres (096)",521,132,38,179,,151,21
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",3,3,,,,,
"Profes., científicos e intelectuales (098)",106,97,,9,,,
"Técnicos de nivel medio y trab. asimilados (099)",9,6,,3,,,
"Jefes y empleados de oficina (100)",5,5,,,,,
