"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CHEPEN (000)",26367,51,1832,888,757,3755,2360,1311,2851,12085,73,404
"Agric., ganadería, caza y silvicultura (001)",11130,,21,24,11,,2355,,36,8683,,
"Pesca (002)",38,,2,1,,,5,,,30,,
"Explotación de minas y canteras (003)",23,,2,2,2,,,9,5,3,,
"Industrias manufactureras (004)",1126,,16,43,33,63,,843,68,60,,
"Suministro de electricidad, gas y agua (005)",52,,2,11,10,,,17,7,5,,
"Construcción (006)",1215,1,19,24,2,,,47,815,307,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",4924,2,30,140,44,3015,,362,39,1292,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",418,,2,17,7,89,,269,27,7,,
"Comercio al por mayor (009)",253,2,5,19,6,208,,,4,9,,
"Comercio al por menor (010)",4253,,23,104,31,2718,,93,8,1276,,
"Hoteles y restaurantes (011)",977,,9,56,29,442,,1,2,438,,
"Trans., almac. y comunicaciones (012)",2238,2,11,47,67,1,,11,1831,268,,
"Intermediación financiera (013)",120,,10,21,83,,,,1,5,,
"Activid.inmobil., empres. y alquileres (014)",646,,107,174,129,114,,7,24,91,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",479,15,46,31,189,10,,6,15,94,73,
"Enseñanza (016)",1495,31,1379,11,51,,,,,23,,
"Servicios sociales y de salud (017)",366,,126,160,53,8,,3,5,11,,
"Otras activ. serv.comun.soc y personales (018)",518,,52,141,44,102,,5,3,171,,
"Hogares privados con servicio doméstico (019)",602,,,1,,,,,,601,,
"Actividad economica no especificada (021)",418,,,1,10,,,,,3,,404
"Hombres (022)",18789,34,802,577,355,1856,2225,1124,2802,8809,71,134
